Name,m_5,SFj,m_8,SFj,m_24,SFj,m_43,SFj,α,
0219+428,24.7,27.74,17.87,14.99,19.65,23.59,10.23,19.25,-0.11,
0235+164,38.29,28.82,50.55,48.63,49.83,49.02,56.22,58.69,+0.08,
0316+413,-9.99,-9.99,19.03,13.78,13.06,13.53,-9.99,-9.99,-0.29,
0323+342,-9.99,-9.99,13.68,11.46,9.97,20.47,-9.99,-9.99,+0.08,
0336-019,22.28,19.55,39.29,17.81,34.97,32.13,18.87,23.28,-0.01,
0355+508,17.57,14.85,22.51,19.08,23.8,20.35,13.36,21.46,+0.08,
0420-014,28.12,23.53,34.57,24.25,42.62,30.30,25.16,44.39,+0.21,
0440-003,19.16,8.01,15.69,10.72,18.85,27.20,12,18.67,-0.42,
0506+056,-9.99,-9.99,31.53,35.54,34.62,38.87,-9.99,-9.99,-0.03,
0528+134,42.92,13.64,55.33,16.26,62.42,39.50,40.67,51.35,+0.00,
0716+714,35.55,25.83,40.08,31.44,56.81,53.39,75.48,91.36,+0.23,
0735+178,16.25,11.80,22.19,19.56,26.66,26.69,16.98,28.29,-0.17,
0736+017,22.05,21.07,27.48,30.89,30.48,38.47,25.59,35.81,+0.18,
0827+243,22,19.78,25.79,28.45,25.78,32.66,26.83,32.75,+0.06,
0829+046,9.4,11.09,32.02,25.01,42.06,40.79,25.53,33.20,+0.19,
0836+710,18.95,14.17,20.16,13.19,19.34,24.38,21.16,29.41,-0.07,
0838+133,4.47,6.54,11.07,11.71,13.93,18.02,-9.99,-9.99,-0.14,
0851+202,40.45,24.29,37.66,25.23,43.17,35.54,66.3,87.91,+0.22,
0954+658,16.71,18.97,24.68,24.23,32.75,37.69,19.03,24.68,+0.25,
1101+384,11.78,13.92,11.76,14.94,8.66,17.31,-9.99,-9.99,-0.18,
1156+295,29.74,42.17,48.67,50.46,55.81,58.52,37.4,49.77,+0.09,
1219+285,20.31,16.43,12.75,15.43,16.66,27.58,16.02,26.67,-0.16,
1222+21,-9.99,-9.99,29.46,19.92,30.22,21.73,-9.99,-9.99,-0.34,
1226+023,10.76,7.70,17.55,7.93,27.02,14.37,16.16,20.81,-0.26,
1253-055,21.4,15.81,21.65,16.73,22.65,20.59,15.26,18.70,+0.12,
1334-127,26.96,24.53,28.89,24.58,30.78,23.72,34.38,55.10,+0.05,
1354+195,10.21,5.06,10.29,10.92,15.17,18.89,13.18,32.25,-0.04,
1441+252,-9.99,-9.99,21.74,24.00,18.83,31.85,-9.99,-9.99,-0.31,
1510-089,41,30.81,42.11,38.39,34.71,32.03,28.26,37.57,+0.08,
1553+113,-9.99,-9.99,23.67,18.45,21.48,19.31,-9.99,-9.99,+0.02,
1606+105,29.64,19.71,29.02,22.11,25.57,28.42,19.91,37.24,-0.21,
1611+343,17.59,10.56,17.27,13.63,27.45,20.04,15.1,29.54,-0.30,
1633+382,11.06,12.10,15.38,16.99,20.53,28.55,7.48,28.48,+0.05,
1641+399,10.29,10.36,12.74,11.72,13.9,19.20,24.22,39.65,+0.02,
1652+398,6.92,6.16,6.33,6.55,6.56,9.59,-9.99,-9.99,-0.21,
1730-130,9.7,8.83,15.95,12.54,17.5,23.27,17.01,28.96,-0.25,
1741-038,32.94,10.97,25.1,20.42,29.57,32.14,14.21,23.73,-0.10,
1807+698,11.41,8.48,17.47,11.52,22.7,23.53,8.53,18.94,-0.06,
1828+487,6.77,7.96,5.73,7.25,13.35,17.74,-9.99,-9.99,-0.48,
1830-211,-9.99,-9.99,25.07,27.19,28.57,23.16,-9.99,-9.99,-0.47,
1959+650,-9.99,-9.99,16.99,16.44,14.82,25.75,-9.99,-9.99,-0.06,
2200+420,34.39,24.78,41.56,27.52,42.5,34.45,24.18,24.52,+0.12,
2223-052,20.76,11.33,28.73,11.08,54.63,18.14,12.88,25.98,-0.23,
2230+114,8.01,5.90,18.92,18.17,30.38,31.57,13.95,41.15,-0.01,
2251+158,28.92,19.08,39.62,19.99,39.55,30.80,49.24,39.73,-0.13,
2344+092,8.73,8.47,14.35,10.66,22.24,24.63,8.74,21.10,-0.12,
2344+514,-9.99,-9.99,0,27.45,4.3,19.94,-9.99,-9.99,-0.23,
1.5y,,,,,,,,,,
