Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
1219+285,122106,55916.51562,5125,11.3545,0.4174,0.0908,
1219+285,110822,55916.46875,8305,22.9658,0.4199,0.1141,
1219+285,82446,55943.35547,5125,32.9556,0.4751,0.0679,
1219+285,54749,55974.24609,5125,39.1928,0.4713,0.0882,
1219+285,212447,56002.89453,5125,56.736,0.4772,0.0818,
1219+285,220855,56002.92578,5125,63.9983,0.4817,0.0989,
1219+285,164243,56033.69922,5125,28.4173,0.5451,0.1164,
1219+285,171500,56033.72266,5125,34.095,0.4949,0.1248,
1219+285,180456,56033.75391,5125,42.9962,0.4411,0.1029,
1219+285,185458,56033.78906,5125,51.885,0.5734,0.1134,
1219+285,194331,56033.82422,5125,60.2053,0.4959,0.0951,
1219+285,151152,56068.63672,5125,36.7548,0.4268,0.0528,
1219+285,104429,56139.44922,5125,38.7713,0.3827,0.0458,
1219+285,175630,56140.75,5125,49.2212,0.5024,0.0511,
1219+285,194519,56140.82422,5125,29.8743,0.5816,0.0732,
1219+285,42129,56205.18359,5125,17.3774,0.4678,0.0718,
1219+285,75832,56205.33594,5125,55.3514,0.4995,0.0521,
1219+285,112640,56205.48047,5125,70.3305,0.4472,0.0306,
1219+285,101804,56250.42969,5125,53.7817,0.5174,0.0861,
1219+285,110836,55943.46875,8305,5.9188,0.3949,0.1512,
1219+285,43412,55974.19531,8305,52.2908,0.4693,0.1155,
1219+285,130531,56068.54688,8305,14.9831,0.3831,0.1498,
1219+285,144225,56096.61328,8305,51.0381,0.518,0.1414,
1219+285,123044,56139.52344,8305,57.5285,0.4001,0.1375,
1219+285,132102,56175.55859,8305,70.7191,0.4183,0.1316,
1219+285,84614,56204.36719,8305,62.6558,0.4426,0.1592,
1219+285,103754,56204.44531,8305,73.6353,0.3976,0.1494,
1219+285,135038,56204.57812,8305,48.1912,0.4628,0.1635,
1219+285,124710,56250.53516,8305,27.3669,0.4564,0.251,
1219+285,120633,56272.50781,8305,19.5354,0.2485,0.2002,
1219+285,3504,56273.02734,8305,24.2603,0.384,0.1916,
1219+285,40104,56273.16797,8305,60.3962,0.5187,0.1537,
1219+285,15,56315.00391,5125,47.3925,0.4888,0.0379,
