Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
1ES1959+650,125454,58467.57209,24100,69.2981,0.2861,0.0168,
1ES1959+650,121848,58467.51879,8520,67.0039,0.3409,0.0134,
1ES1959+650,83649,58532.39289,24100,69.3155,0.3125,0.0234,
1ES1959+650,65914,58557.32508,24100,69.3149,0.2693,0.0187,
1ES1959+650,51127,58589.25021,24100,69.0934,0.2697,0.0161,
1ES1959+650,25950,58626.15885,24100,68.7276,0.2681,0.0246,
1ES1959+650,23033,58659.13849,24100,62.1108,0.3394,0.0249,
1ES1959+650,4254,58688.06373,24100,61.5258,0.2923,0.0254,
1ES1959+650,22943,58688.10848,24100,55.1705,0.2674,0.0704,
1ES1959+650,231904,58710.00554,24100,61.281,0.2725,0.0239,
1ES1959+650,200917,58757.87375,24100,61.3726,0.2624,0.022,
1ES1959+650,215353,58757.92025,24100,54.6232,0.2688,0.0488,
1ES1959+650,185145,58776.8199,24100,61.6314,0.2267,0.0252,
1ES1959+650,75825,58532.33797,8520,66.7126,0.3708,0.0216,
1ES1959+650,43529,58589.19704,8520,67.8999,0.3477,0.0174,
1ES1959+650,20843,58626.09513,8520,67.8351,0.3087,0.0184,
1ES1959+650,11044,58659.06683,8305,68.869,0.3714,0.0128,
1ES1959+650,225914,58687.9755,8305,69.2281,0.3156,0.0156,
1ES1959+650,212700,58709.91143,8520,69.2842,0.2732,0.0092,
1ES1959+650,185500,58757.80589,8520,68.4013,0.3002,0.0233,
1ES1959+650,172538,58776.74382,8305,68.8925,0.2825,0.0148,
1ES1959+650,183257,58776.77987,8305,66.4393,0.2612,0.0428,
1ES1959+650,151348,58808.65227,8305,69.0419,0.2621,0.0114,
1ES1959+650,170905,58908.71798,6075,22.7035,0.2773,0.0091,
1ES1959+650,140348,58960.58843,6075,21.4756,0.2555,0.012,
1ES1959+650,162809,58908.69559,23840,25.0384,0.2354,0.0066,
1ES1959+650,231402,59073.00205,24100,62.5344,0.2071,0.0362,
