Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
2223-052,161638,55916.67969,5125,39.6601,6.0556,0.0661,
2223-052,151426,55916.63672,8305,40.4008,4.9833,0.192,
2223-052,102425,55943.4375,5125,22.8188,6.0439,0.0902,
2223-052,152814,55973.64844,5125,20.5608,5.9765,0.1266,
2223-052,130753,56002.55078,5125,24.6719,5.698,0.1191,
2223-052,105834,56033.46094,5125,25.7393,5.8311,0.1125,
2223-052,200138,56175.83594,5125,30.021,4.7035,0.1172,
2223-052,195755,56204.83203,5125,39.7366,4.8497,0.0469,
2223-052,221944,56204.93359,5125,35.6621,4.982,0.0584,
2223-052,110047,56272.46094,5125,5.0928,4.8504,0.0899,
2223-052,162741,56272.6875,5125,40.4651,4.8138,0.0861,
2223-052,193053,56272.81641,5125,23.4326,4.8879,0.0684,
2223-052,130255,55943.54688,8305,39.5752,4.5335,0.1716,
2223-052,124447,55973.53516,8305,39.0593,4.267,0.2092,
2223-052,113315,56002.48438,8305,36.0742,4.6867,0.3514,
2223-052,83147,56033.35938,8305,39.913,4.4746,0.2653,
2223-052,74151,56068.32422,8305,33.0939,4.3327,0.2898,
2223-052,201542,56140.84766,8305,11.2747,3.9894,0.1998,
2223-052,221428,56140.92969,8305,29.411,4.3507,0.223,
2223-052,235957,56141.0,8305,39.1334,3.7086,0.3341,
2223-052,11047,56141.05078,8305,40.3893,4.0107,0.1921,
2223-052,35650,56141.16797,8305,25.3402,4.3146,0.2012,
2223-052,60155,56141.25,8305,5.5752,4.1478,0.5288,
2223-052,215155,56175.91406,8305,39.735,3.5623,0.1843,
2223-052,832,56176.00781,8305,36.1365,3.993,0.2189,
2223-052,154206,56204.65625,8305,7.5131,3.6879,0.2196,
2223-052,174901,56204.74609,8305,27.5762,3.7574,0.233,
2223-052,145940,56250.625,8305,29.1138,2.2718,0.2308,
2223-052,132512,56272.5625,8305,28.0577,2.5271,0.1915,
2223-052,113109,56315.48438,5125,34.3959,4.744,0.0243,
2223-052,54422,56395.24609,5125,30.8523,4.7134,0.0232,
2223-052,3105,56490.02734,5125,36.8695,4.6759,0.0395,
2223-052,194750,56538.83203,5125,26.9519,4.6411,0.037,
2223-052,140632,56643.59181,5075,35.3492,4.3561,0.0524,
2223-052,103839,56314.44531,8305,27.3805,3.9001,0.1249,
2223-052,55334,56394.25,8305,31.4764,4.1942,0.1062,
2223-052,10303,56476.04688,8305,35.0065,3.9481,0.1081,
2223-052,232910,56490.98438,8305,31.2329,3.8892,0.1309,
2223-052,213409,56510.90234,8305,26.5293,4.0031,0.1136,
2223-052,194926,56539.83203,8305,27.7999,3.7797,0.1009,
2223-052,110940,56679.46901,5075,31.5335,4.428,0.0265,
