Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
3C207,211227,56042.88672,5125,33.6854,1.6157,0.0842,
3C207,224339,56042.94922,5125,17.5682,1.7795,0.1543,
3C207,143234,56068.60938,5125,54.5904,1.6184,0.0273,
3C207,154620,56068.65625,5125,58.596,1.671,0.0758,
3C207,112243,56096.47656,5125,44.1874,1.648,0.0342,
3C207,33317,56205.15234,5125,37.6044,1.6979,0.0319,
3C207,70250,56205.29688,5125,58.5284,1.4926,0.0388,
3C207,103623,56205.44531,5125,32.8587,1.6367,0.035,
3C207,203608,56047.86328,8305,36.5252,1.5378,0.1381,
3C207,133005,56068.56641,8305,46.771,1.4057,0.1281,
3C207,135751,56096.58594,8305,58.6396,1.6349,0.1455,
3C207,120128,56139.50391,8305,56.7655,1.5713,0.1415,
3C207,125310,56175.53906,8305,29.578,0.8177,0.5081,
3C207,91817,56204.39062,8305,46.1867,1.4349,0.1923,
3C207,130458,56204.54688,8305,7.2321,1.4566,0.15,
3C207,234646,56272.99219,8305,44.1734,1.3721,0.1758,
3C207,31655,56273.14062,8305,56.5978,1.2069,0.1405,
3C207,232721,56314.98438,5125,58.0606,1.6793,0.0179,
3C207,171705,56394.72656,5125,55.1498,1.7396,0.0259,
3C207,204613,56394.87109,5125,45.8053,1.824,0.0282,
3C207,150923,56418.63672,5125,51.7077,1.7045,0.0222,
3C207,132709,56474.56641,5125,57.8831,1.8657,0.0202,
3C207,74643,56538.32812,5125,54.778,1.8092,0.023,
3C207,232001,56313.97656,8305,57.707,1.549,0.1099,
3C207,13740,56314.07031,8305,49.9627,1.577,0.1039,
3C207,172202,56393.73047,8305,55.2379,1.7436,0.0864,
3C207,151924,56419.64453,8305,53.4537,1.6404,0.0903,
3C207,131559,56476.55859,8305,58.1713,1.6764,0.1047,
3C207,113120,56490.48438,8305,57.5011,1.64,0.1198,
3C207,80233,56539.33984,8305,56.5538,1.5817,0.0767,
3C207,224913,56678.9548,5075,56.3338,1.66,0.0405,
3C207,185929,56744.79525,5075,58.0881,1.6955,0.027,
3C207,225814,56679.96097,8305,57.2792,1.5167,0.037,
3C207,12130,56680.06047,8305,52.0615,1.5965,0.0426,
3C207,205540,56700.87586,8520,53.906,1.5532,0.02,
3C207,233135,56700.98416,8520,55.0054,1.6155,0.023,
3C207,214511,57055.91033,5075,54.7651,1.6224,0.0363,
3C207,174914,57102.74648,5075,48.6839,1.6719,0.0248,
3C207,202620,57102.85563,5075,57.9297,1.6506,0.0272,
3C207,180119,57161.75323,24600,49.676,0.9196,0.1771,
3C207,204130,57056.86599,8520,47.54,1.4416,0.0263,
3C207,184902,57101.78792,8520,55.2765,1.3591,0.0244,
3C207,212502,57101.89625,8520,53.5842,1.3957,0.0228,
3C207,144934,57160.62163,8520,54.5639,1.2342,0.0209,
3C207,173245,57160.73496,8520,53.6127,1.2774,0.0323,
3C207,104817,57276.45424,8520,46.9706,1.2216,0.0219,
3C207,95449,57300.41711,8520,40.6725,1.3828,0.0213,
3C207,70751,57337.30118,8520,44.0688,1.341,0.0241,
3C207,32506,57371.14653,8520,55.3791,1.2967,0.0172,
3C207,20836,57739.09305,5075,58.622,1.7933,0.0902,
3C207,233221,57737.98245,24100,43.6287,1.7227,0.1758,
3C207,234956,57738.00032,24100,47.4737,1.6906,0.0939,
3C207,214857,57433.91303,8520,58.3281,1.4065,0.0276,
3C207,195830,57468.83634,8520,58.5874,1.2681,0.0179,
3C207,183343,57498.77713,8520,57.4917,1.3468,0.0174,
3C207,110159,57526.46342,8520,19.3386,1.2616,0.0235,
3C207,121006,57526.51072,8520,31.4071,1.3311,0.0309,
3C207,132546,57526.56326,8520,43.9553,1.2424,0.0314,
3C207,142903,57559.60722,8520,57.7469,1.3281,0.0358,
3C207,163333,57559.69367,8520,43.7633,1.2961,0.0219,
3C207,130220,57581.547,8520,57.7575,1.4028,0.0245,
3C207,1159,57721.01196,8520,39.619,1.4451,0.024,
3C207,35826,57721.16921,8520,57.4148,1.4442,0.0194,
3C207,80548,57721.34099,8520,21.7475,1.4991,0.0291,
3C207,23410,57738.1107,8520,58.2196,1.5061,0.0209,
3C207,63715,57738.27951,8520,25.6077,1.606,0.0373,
3C207,13141,57778.06633,8520,49.8787,1.527,0.0203,
3C207,40146,57778.17055,8520,25.5382,1.5842,0.0609,
3C207,215101,57811.9131,8520,57.9671,1.4896,0.0222,
3C207,223859,57836.9464,8520,41.0883,1.5692,0.0277,
3C207,171259,57920.72001,8520,40.3956,1.5609,0.0334,
3C207,193814,57920.82088,8520,15.0625,1.6072,0.0467,
3C207,163710,57946.69513,8520,29.1049,1.6266,0.0381,
3C207,135704,57947.58396,8520,53.1048,1.5155,0.025,
3C207,153240,57981.65035,8520,16.1008,1.4206,0.0512,
3C207,91950,58013.39144,8520,54.9567,1.4476,0.029,
3C207,21240,58468.09471,24100,58.6097,1.3379,0.0635,
3C207,20222,58137.08764,8520,49.0784,1.575,0.0656,
3C207,3440,58160.02674,8520,48.7067,1.5107,0.0254,
3C207,649,58188.0074,8520,35.8232,1.6537,0.0452,
