Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
3C454.3,162806,55916.69141,5125,61.1396,13.5837,0.1116,
3C454.3,103526,55943.44531,5125,35.9043,13.4787,0.1031,
3C454.3,153845,55973.65625,5125,39.21,13.142,0.1679,
3C454.3,131529,56002.55469,5125,44.3478,12.4601,0.152,
3C454.3,110611,56033.46484,5125,45.5448,12.43,0.1336,
3C454.3,83144,56037.35938,5125,61.2257,11.6453,0.1529,
3C454.3,82713,56096.35547,5125,30.3941,12.9549,0.1042,
3C454.3,192141,56140.80859,5125,11.6399,11.6473,0.1547,
3C454.3,170854,56175.71484,5125,12.4855,10.3219,0.1523,
3C454.3,200912,56175.84375,5125,44.0865,10.6699,0.1511,
3C454.3,200549,56204.83984,5125,58.8913,10.7042,0.0653,
3C454.3,222724,56204.9375,5125,56.9747,10.8815,0.0633,
3C454.3,13055,56205.06641,5125,28.2207,11.3716,0.0733,
3C454.3,110816,56272.46484,5125,16.1545,11.3126,0.1394,
3C454.3,163533,56272.69531,5125,61.6892,10.12,0.0646,
3C454.3,193830,56272.82031,5125,42.9596,10.2277,0.0802,
3C454.3,131854,55943.55859,8305,59.2328,11.9867,0.2249,
3C454.3,125614,55973.54297,8305,60.5232,10.9018,0.3324,
3C454.3,114053,56002.48828,8305,57.458,11.3712,0.7202,
3C454.3,83940,56033.36328,8305,61.4751,10.5608,0.4006,
3C454.3,75257,56068.33203,8305,53.5489,10.2013,0.3641,
3C454.3,202311,56140.85156,8305,22.5507,9.052,0.2827,
3C454.3,222204,56140.93359,8305,43.3078,9.8207,0.3647,
3C454.3,11840,56141.05859,8305,61.6973,9.3776,0.2163,
3C454.3,40426,56141.17188,8305,45.095,9.7736,0.2132,
3C454.3,215950,56175.91797,8305,58.8896,8.2086,0.2221,
3C454.3,1611,56176.01172,8305,57.5312,8.8859,0.24,
3C454.3,154934,56204.66016,8305,18.6306,7.5781,0.3194,
3C454.3,175635,56204.75,8305,41.0033,8.9843,0.4181,
3C454.3,150714,56250.63281,8305,42.9236,6.1156,0.2852,
3C454.3,133247,56272.56641,8305,41.7567,6.1522,0.271,
3C454.3,214551,56272.91016,8305,20.6656,7.2053,0.3606,
3C454.3,110639,56315.46875,5125,45.3871,9.8055,0.0433,
3C454.3,52000,56395.22656,5125,40.1134,9.2888,0.0389,
3C454.3,31147,56419.13672,5125,34.2923,9.233,0.0453,
3C454.3,628,56490.00781,5125,49.6554,8.9669,0.0381,
3C454.3,211526,56511.89062,5125,35.9071,8.6286,0.0443,
3C454.3,192325,56538.8125,5125,34.8896,8.3258,0.0377,
3C454.3,102036,56314.43359,8305,36.5466,7.5265,0.1374,
