Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
3C66A,182122,55916.76953,8305,77.5271,0.783,0.1015,
3C66A,112218,56033.47656,5125,84.6952,2.3283,0.1096,
3C66A,84845,56037.37109,5125,60.1752,2.0664,0.1243,
3C66A,201448,56204.84766,5125,44.2399,2.3735,0.049,
3C66A,224405,56204.94922,5125,70.0175,2.2128,0.0486,
3C66A,14413,56205.07422,5125,77.3778,2.3411,0.0491,
3C66A,51045,56205.21875,5125,41.6073,2.3456,0.0647,
3C66A,135250,55943.58203,8305,49.1661,0.964,0.1247,
3C66A,131221,55973.55469,8305,62.4479,0.9115,0.1964,
3C66A,115736,56002.5,8305,69.2115,0.8074,0.316,
3C66A,80906,56068.34375,8305,74.9105,0.5757,0.1492,
3C66A,121748,56096.51562,8305,41.8456,1.0876,0.2523,
3C66A,5722,56490.04688,5125,38.9184,2.7325,0.0619,
3C66A,105537,56314.45703,8305,24.1125,1.3552,0.2686,
3C66A,124040,56314.53125,8305,40.2657,1.3878,0.2669,
3C66A,61938,56394.26953,8305,30.253,0.8734,0.1539,
3C66A,35739,56420.17188,8305,24.4608,0.8274,0.1907,
3C66A,12741,56476.06641,8305,35.0269,0.7563,0.1027,
3C66A,235343,56491.0,8305,29.8375,0.8331,0.134,
3C66A,2,56491.0,8305,29.6338,0.9046,0.2546,
3C66A,215838,56510.92188,8305,24.2792,0.8368,0.1266,
3C66A,201358,56539.84766,8305,25.6227,0.8434,0.1332,
3C66A,151913,56679.64239,8520,67.1782,1.2817,0.0547,
3C66A,92757,56701.3984,8520,23.9071,1.0111,0.0383,
3C66A,104936,56701.45513,8520,36.1698,0.9742,0.0372,
3C66A,54046,57240.24494,24000,76.797,0.6484,0.0894,
3C66A,31758,57276.14581,24100,77.0166,0.7022,0.0382,
3C66A,231509,57336.97722,24100,77.5429,0.6952,0.0684,
3C66A,33907,57337.15999,24100,32.7602,0.6057,0.0626,
3C66A,72923,57102.31606,8520,27.0701,1.4598,0.0732,
3C66A,23425,57240.11128,8520,68.2193,0.773,0.0795,
3C66A,821,57276.00984,8520,67.414,0.8686,0.0534,
3C66A,200711,57336.84237,8520,67.1772,0.8157,0.0356,
3C66A,181912,57370.76742,8520,71.7532,0.8361,0.0371,
3C66A,155335,57720.66601,5075,36.354,2.7044,0.0491,
3C66A,143803,57738.61353,5075,35.6096,2.5364,0.0447,
3C66A,174219,57738.7415,5075,66.754,2.6182,0.0538,
3C66A,142615,57739.60534,5075,34.3748,2.5406,0.0541,
3C66A,122036,57468.52259,24100,77.8042,0.6437,0.052,
3C66A,123747,57498.53372,24100,77.8405,0.6715,0.0578,
3C66A,135213,57525.58543,24100,46.3094,0.7434,0.0617,
3C66A,171147,57737.72382,24100,62.0424,0.6322,0.0398,
3C66A,223537,57737.94872,24100,59.909,0.7413,0.044,
3C66A,164644,57400.70326,8520,76.3194,0.8319,0.0489,
3C66A,100327,57498.42277,8520,73.0026,0.7737,0.0539,
3C66A,12124,57582.06023,8520,40.0225,0.7839,0.0579,
3C66A,33133,57582.15062,8520,62.0804,0.7329,0.0377,
3C66A,13807,57721.0718,8520,41.395,0.7706,0.0657,
3C66A,3145,57738.0257,8520,41.3211,0.8027,0.0768,
3C66A,182217,57777.77185,24100,77.1656,0.6357,0.0281,
3C66A,125954,57811.54796,24100,68.7076,0.6012,0.036,
