Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
B20218+35,202247,56204.85156,5125,42.7546,1.386,0.041,
B20218+35,225808,56204.96094,5125,70.2802,1.4384,0.032,
B20218+35,15733,56205.08594,5125,71.5625,1.476,0.031,
B20218+35,51904,56205.22656,5125,36.1921,1.4855,0.0477,
B20218+35,144850,56272.62109,5125,31.3822,1.7247,0.1097,
B20218+35,170102,56272.71094,5125,54.3682,1.3576,0.0375,
B20218+35,200559,56272.83984,5125,81.46,1.8002,0.0825,
B20218+35,161616,56204.67969,8305,5.021,1.194,0.272,
B20218+35,181805,56204.76562,8305,22.006,1.1832,0.1461,
B20218+35,152844,56250.64844,8305,23.8142,0.8455,0.1626,
B20218+35,221630,56272.92969,8305,63.5733,1.2952,0.1425,
B20218+35,13346,56273.06641,8305,29.1536,1.1303,0.1404,
