Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
BLLAC,144531,55943.61719,5125,75.1025,5.0031,0.0856,
BLLAC,151600,55973.64062,5125,48.9356,4.9439,0.1038,
BLLAC,132412,56002.5625,5125,48.8139,5.0653,0.1144,
BLLAC,111456,56033.47266,5125,50.0707,5.0876,0.1022,
BLLAC,84144,56037.36328,5125,74.2458,4.8022,0.1055,
BLLAC,83535,56096.35938,5125,35.4791,5.7159,0.0692,
BLLAC,91101,56139.38281,5125,7.9135,5.245,0.0789,
BLLAC,192604,56140.8125,5125,37.2242,5.0012,0.1084,
BLLAC,201755,56175.84766,5125,69.7043,5.8513,0.1271,
BLLAC,223705,56204.94531,5125,64.3002,5.6846,0.0497,
BLLAC,13916,56205.07031,5125,33.557,5.8674,0.0636,
BLLAC,130615,56205.54688,5125,18.786,5.4308,0.1262,
BLLAC,143559,56272.60938,5125,76.7578,5.63,0.0639,
BLLAC,164535,56272.69922,5125,79.2561,5.7872,0.0624,
BLLAC,194711,56272.82812,5125,47.384,5.7233,0.0593,
BLLAC,114323,56280.49219,5125,52.1136,5.4471,0.1024,
BLLAC,115101,56280.49609,5125,53.428,5.5642,0.108,
BLLAC,123806,55973.53125,8305,76.6925,6.1892,0.226,
BLLAC,115036,56002.49609,8305,65.1075,5.9702,0.4049,
BLLAC,84941,56033.37109,8305,75.6368,5.6252,0.2463,
BLLAC,73524,56068.32031,8305,64.0842,5.3124,0.2694,
BLLAC,121308,56096.51172,8305,6.5999,5.2166,0.3216,
BLLAC,203153,56140.85938,8305,48.1028,6.4524,0.3764,
BLLAC,223046,56140.94141,8305,68.855,6.4661,0.2003,
BLLAC,1646,56141.01172,8305,86.7621,6.1297,0.3368,
BLLAC,12836,56141.0625,8305,78.5437,6.1838,0.1796,
BLLAC,41309,56141.17969,8305,49.5976,6.26,0.1778,
BLLAC,2553,56176.01953,8305,65.2226,6.7315,0.2169,
BLLAC,121659,56204.51562,8305,12.1001,5.9977,0.3816,
BLLAC,155817,56204.67188,8305,45.2957,6.5628,0.2242,
BLLAC,180518,56204.75391,8305,66.3967,7.0975,0.2872,
BLLAC,151556,56250.63672,8305,68.445,8.8579,0.2753,
BLLAC,134225,56272.57422,8305,67.1919,8.4961,0.2533,
BLLAC,142628,56272.60156,8305,74.9709,8.5662,0.269,
BLLAC,220102,56272.91797,8305,26.0917,6.8557,0.4607,
BLLAC,122115,56280.51953,8305,58.6839,7.2051,0.2083,
BLLAC,122854,56280.52344,8305,60.0243,7.241,0.2137,
BLLAC,152816,56288.64844,8305,81.8068,6.9465,0.1964,
BLLAC,155653,56288.66797,8305,76.8032,7.1169,0.1995,
BLLAC,101234,56300.42969,5125,49.3684,5.7391,0.0477,
BLLAC,102012,56300.43359,5125,50.6779,5.634,0.0312,
BLLAC,165355,56306.70703,5125,54.1756,5.8649,0.0298,
BLLAC,105728,56315.46094,5125,68.1832,6.3469,0.0206,
BLLAC,91044,56320.38672,5125,52.2567,6.041,0.0627,
BLLAC,91823,56320.39062,5125,53.5787,6.2274,0.0638,
BLLAC,91148,56327.38672,5125,57.2289,6.0711,0.0472,
BLLAC,91929,56327.39062,5125,58.5827,6.0562,0.0605,
BLLAC,50451,56395.21875,5125,61.3894,7.1237,0.038,
BLLAC,25647,56419.12891,5125,55.4281,7.2261,0.0342,
BLLAC,235709,56490.0,5125,72.1913,7.2021,0.0368,
BLLAC,23,56490.00391,5125,73.1486,7.2872,0.0308,
BLLAC,210026,56511.87891,5125,57.0463,6.7374,0.0716,
BLLAC,190824,56538.80469,5125,56.0239,5.7797,0.0318,
BLLAC,133836,56643.57258,5075,70.0984,5.0417,0.0448,
BLLAC,110313,56300.46484,8305,58.1512,7.0216,0.1504,
BLLAC,112731,56300.48047,8305,62.4566,7.0345,0.1105,
BLLAC,101832,56306.43359,8305,54.4649,7.4631,0.1428,
BLLAC,100837,56314.42578,8305,58.228,7.7039,0.1244,
BLLAC,94841,56320.41016,8305,58.8685,7.7784,0.1294,
BLLAC,95623,56320.41797,8305,60.2361,7.7931,0.1274,
BLLAC,95327,56327.41406,8305,64.6027,7.311,0.133,
BLLAC,100120,56327.42188,8305,66.0047,7.2846,0.132,
BLLAC,51357,56394.22266,8305,62.301,8.3191,0.1333,
BLLAC,25512,56420.125,8305,55.8615,8.3725,0.145,
BLLAC,3024,56476.02734,8305,69.2238,8.2948,0.111,
BLLAC,225053,56490.95703,8305,62.0168,7.5011,0.1407,
BLLAC,205611,56510.87891,8305,55.6447,6.9599,0.156,
