Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
MRK501,210504,55655.88281,5125,25.9997,1.5345,0.0403,
MRK501,211433,55655.88672,5125,27.4568,1.518,0.0437,
MRK501,204536,55685.86719,5125,41.8435,1.4675,0.0451,
MRK501,205523,55685.875,5125,43.5908,1.4675,0.0426,
MRK501,213427,55685.90234,5125,50.2423,1.6565,0.2618,
MRK501,214606,55685.91016,5125,52.279,1.4029,0.2829,
MRK501,175955,55706.75391,5125,28.3713,1.4525,0.0517,
MRK501,180918,55706.75781,5125,29.8438,1.4763,0.0553,
MRK501,164045,55754.69922,5125,46.4481,1.4835,0.0392,
MRK501,142711,55783.60547,5125,43.0183,1.4721,0.0465,
MRK501,130336,55812.54688,5125,48.3381,1.4804,0.0352,
MRK501,130245,55826.54688,5125,57.7607,1.4602,0.0362,
MRK501,112144,55847.47656,5125,54.5882,1.4971,0.0394,
MRK501,93405,55881.40234,5125,59.1978,1.4149,0.0891,
MRK501,133722,55916.57031,5125,50.4047,1.43,0.0587,
MRK501,350,55656.00391,20000,55.5367,1.2589,0.1433,
MRK501,1519,55656.01172,20000,57.5714,1.1406,0.1105,
MRK501,221016,55655.92578,8305,36.3693,1.2008,0.1828,
MRK501,193213,55685.81641,8305,29.8176,1.3285,0.1506,
MRK501,194114,55685.82422,8305,31.3296,1.3188,0.1195,
MRK501,165338,55697.70703,8305,13.6401,1.1366,0.2445,
MRK501,170024,55706.71094,8305,19.4703,1.3163,0.1592,
MRK501,154844,55754.66016,8305,37.6475,1.33,0.1276,
MRK501,135306,55770.58203,8305,28.9686,1.2173,0.1522,
MRK501,125642,55774.54297,8305,22.7653,1.2524,0.1647,
MRK501,155329,55783.66406,8305,58.1432,1.2926,0.1183,
MRK501,142202,55812.60156,8305,62.1619,1.3402,0.1394,
MRK501,153436,55826.65234,8305,83.9521,1.3082,0.3127,
MRK501,160914,55826.67969,8305,84.4171,1.2195,0.1763,
MRK501,124458,55847.53516,8305,69.4095,1.3968,0.1125,
MRK501,113432,55881.48438,8305,80.4647,1.3231,0.1183,
MRK501,143315,55916.60938,8305,40.8138,1.3203,0.1221,
MRK501,100407,55930.42188,5125,78.2716,1.4715,0.0644,
MRK501,103953,55973.44922,5125,42.38,1.4547,0.0863,
MRK501,92753,56002.39453,5125,35.6245,1.5427,0.1418,
MRK501,74310,56037.32422,5125,30.3214,1.3677,0.1006,
MRK501,94755,56037.41016,5125,12.3288,1.1909,0.1448,
MRK501,184008,56068.78125,5125,32.5612,1.5181,0.0478,
MRK501,172720,56096.73047,5125,38.6705,1.413,0.0565,
MRK501,183615,56140.77734,5125,80.9077,1.3738,0.0364,
MRK501,220131,56204.92188,5125,18.4124,1.3778,0.0551,
MRK501,85813,56205.375,5125,25.7827,1.3498,0.0412,
MRK501,123659,56205.52734,5125,62.7058,1.3467,0.0357,
