Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
NRAO150,171742,55916.72266,5125,52.0099,6.4749,0.0749,
NRAO150,182640,55916.77344,8305,62.7703,8.1215,0.1957,
NRAO150,145926,55943.62891,5125,47.1325,6.9803,0.0762,
NRAO150,155715,55973.66797,5125,74.4423,7.7993,0.1274,
NRAO150,133628,56002.57031,5125,70.084,7.5881,0.1257,
NRAO150,112702,56033.48047,5125,68.901,7.2834,0.118,
NRAO150,85240,56037.37109,5125,47.3329,6.9908,0.1265,
NRAO150,101003,56068.42578,5125,78.1134,7.0819,0.139,
NRAO150,91946,56139.39062,5125,61.1757,7.5549,0.057,
NRAO150,201841,56204.84766,5125,33.9156,7.8236,0.053,
NRAO150,224804,56204.95312,5125,55.8918,7.9874,0.0562,
NRAO150,15015,56205.07812,5125,82.7019,7.8503,0.0663,
NRAO150,51449,56205.22266,5125,58.8963,8.6796,1.1681,
NRAO150,91738,56205.39062,5125,24.4663,7.7376,0.0912,
NRAO150,131058,56205.55078,5125,6.3476,6.7765,0.0987,
NRAO150,71214,56272.30078,5125,11.1627,7.8836,0.3256,
NRAO150,144447,56272.61719,5125,25.3815,7.0641,0.1734,
NRAO150,165650,56272.70703,5125,43.1723,7.0637,0.0527,
NRAO150,200003,56272.83594,5125,71.4861,6.9496,0.0705,
NRAO150,135827,55943.58594,8305,38.2333,8.94,0.3034,
NRAO150,131729,55973.55859,8305,49.5536,8.5287,0.2833,
NRAO150,120136,56002.50391,8305,55.1827,8.5881,0.5659,
NRAO150,90039,56033.37891,8305,46.1743,8.5336,0.3446,
NRAO150,81420,56068.34766,8305,60.4643,8.47,0.3267,
NRAO150,122151,56096.51562,8305,59.121,9.541,0.3621,
NRAO150,204028,56140.86328,8305,9.9699,7.9209,0.276,
NRAO150,223931,56140.94531,8305,20.3327,8.5184,0.3404,
NRAO150,13949,56141.07031,8305,43.124,9.1289,0.344,
NRAO150,42517,56141.1875,8305,69.3502,9.0599,0.2443,
NRAO150,221242,56175.92578,8305,33.9167,8.0748,0.3314,
NRAO150,3654,56176.02734,8305,55.0879,8.9339,0.2569,
NRAO150,122144,56204.51562,8305,8.5242,7.0873,0.3203,
NRAO150,161208,56204.67578,8305,8.97,7.9388,0.3767,
NRAO150,181404,56204.76172,8305,18.8707,8.2106,0.3504,
NRAO150,135109,56272.57812,8305,19.3343,6.2177,0.2774,
NRAO150,221033,56272.92578,8305,82.0111,7.0907,0.32,
NRAO150,12929,56273.0625,8305,52.3663,11.1497,0.3675,
NRAO150,52749,56273.23047,8305,20.2313,6.8217,0.2836,
NRAO150,221949,56314.9375,5125,55.8654,6.8255,0.022,
NRAO150,160912,56394.67969,5125,64.7276,6.1423,0.0272,
NRAO150,194450,56394.82812,5125,32.3236,7.144,0.0422,
NRAO150,140150,56418.58984,5125,69.9682,6.9422,0.0237,
NRAO150,122010,56474.51953,5125,51.2741,7.4404,0.0311,
NRAO150,100959,56489.42969,5125,62.474,7.0783,0.0242,
NRAO150,80630,56511.34375,5125,68.3333,7.5947,0.0363,
NRAO150,63849,56538.28125,5125,65.3913,7.5777,0.0373,
NRAO150,223442,56313.94531,8305,54.6208,8.6092,0.125,
NRAO150,5624,56314.04297,8305,33.6745,8.753,0.1336,
NRAO150,30638,56314.13281,8305,17.9288,8.3763,0.1667,
NRAO150,161412,56393.68359,8305,64.5419,9.0452,0.1503,
NRAO150,141332,56419.59766,8305,67.5092,8.525,0.1565,
NRAO150,121133,56476.51172,8305,51.5177,9.159,0.2467,
NRAO150,102602,56490.44141,8305,59.365,9.7406,0.3252,
NRAO150,122124,56510.51953,8305,30.8187,8.5982,0.1583,
NRAO150,65704,56539.29297,8305,61.9514,9.534,0.1265,
NRAO150,215519,56678.91751,5075,61.3211,7.7511,0.0412,
NRAO150,200312,56701.83969,5075,64.7271,8.299,0.0598,
NRAO150,180548,56744.75809,5075,56.6224,7.6671,0.0282,
NRAO150,220532,56679.92443,8305,58.9378,8.8731,0.1208,
NRAO150,3316,56680.02702,8305,36.8234,8.9187,0.1264,
NRAO150,200256,56700.83927,8520,65.2456,9.8009,0.0278,
NRAO150,224306,56700.95052,8520,40.7363,9.7782,0.0762,
NRAO150,182145,56742.76904,8520,55.1974,9.2392,0.0468,
NRAO150,205111,57055.87301,5075,64.1434,7.6785,0.0611,
NRAO150,170345,57102.71507,5075,70.8404,8.4311,0.0535,
NRAO150,182652,57161.7727,5075,24.9213,7.1216,0.0545,
NRAO150,21543,57276.09881,5075,72.7449,8.8542,0.0369,
NRAO150,1235,57301.01322,5075,68.8551,8.1784,0.0563,
NRAO150,221112,57336.92898,5075,72.0075,8.4464,0.0517,
NRAO150,1734,57371.01663,5075,62.6953,7.5161,0.0384,
NRAO150,141314,57161.59815,24600,60.4884,7.9214,0.9306,
NRAO150,64637,57240.29091,24000,80.4081,8.6588,0.4082,
NRAO150,42354,57276.19181,24100,80.5544,7.6922,0.1832,
NRAO150,201828,57370.85435,24100,76.3576,8.8661,0.1122,
NRAO150,195707,57056.83523,8520,71.8661,8.7858,0.026,
NRAO150,175611,57101.75126,8520,63.0678,9.0697,0.0284,
NRAO150,203642,57101.86274,8520,38.7169,9.3814,0.0663,
NRAO150,135650,57160.58506,8520,64.2261,8.911,0.0242,
NRAO150,164421,57160.70139,8520,38.7664,8.8189,0.0402,
NRAO150,20548,57161.09121,8520,11.6946,7.9581,0.0423,
NRAO150,32936,57161.14943,8520,19.2392,8.6104,0.0394,
NRAO150,43004,57161.19142,8520,26.099,9.2701,0.0699,
NRAO150,51141,57161.22031,8520,31.3733,9.0377,0.0441,
NRAO150,31018,57240.13625,8520,59.1929,9.3241,0.0401,
NRAO150,4414,57276.03481,8520,58.4776,9.974,0.0246,
NRAO150,223522,57300.94528,8520,53.7063,9.7486,0.0561,
NRAO150,204302,57336.86731,8520,58.2593,9.1523,0.024,
NRAO150,185519,57370.79032,8520,61.8431,9.5504,0.0401,
NRAO150,4723,57401.0373,5075,40.2076,8.0518,0.0582,
NRAO150,170014,57468.71297,5075,70.8586,8.7518,0.0475,
NRAO150,62337,57560.27034,5075,61.3769,8.9267,0.0984,
NRAO150,161044,57720.67794,5075,29.2122,9.4444,0.0555,
NRAO150,145511,57738.62547,5075,28.6035,8.9385,0.04,
NRAO150,180832,57738.75974,5075,56.4297,9.1683,0.0406,
NRAO150,144323,57739.61727,5075,27.616,8.7193,0.0456,
NRAO150,132605,57468.56791,24100,72.2556,9.1677,0.1614,
NRAO150,142924,57525.61122,24100,58.2635,10.0045,0.2742,
NRAO150,175250,57737.75234,24100,54.5475,8.3408,0.1854,
NRAO150,172318,57400.72864,8520,66.4374,9.363,0.0295,
NRAO150,112335,57468.47875,8520,51.9751,10.0991,0.0356,
NRAO150,102834,57498.44022,8520,61.7113,10.1512,0.0333,
NRAO150,94946,57526.41328,8520,72.8911,8.6576,0.0298,
NRAO150,50924,57560.21857,8520,49.9957,10.2016,0.0521,
NRAO150,14640,57582.0778,8520,33.2264,10.4841,0.071,
NRAO150,40421,57582.17341,8520,53.2848,10.6002,0.0319,
NRAO150,21604,57721.09817,8520,53.5212,11.4089,0.0304,
NRAO150,70610,57721.29962,8520,15.7992,11.7084,0.0411,
NRAO150,5637,57738.04299,8520,55.4783,11.4279,0.03,
NRAO150,53147,57738.23407,8520,18.4922,11.4864,0.0431,
NRAO150,163658,57777.69624,5075,66.1653,8.028,0.0365,
NRAO150,204531,57778.87132,24100,68.7886,7.998,0.3653,
NRAO150,133708,57811.57382,24100,59.846,6.9277,0.0984,
NRAO150,200253,57836.8417,24100,40.3431,7.9951,0.2842,
NRAO150,155942,57837.67283,24100,77.001,7.5307,0.1735,
NRAO150,134615,57920.58016,24100,47.1683,7.3149,0.3512,
NRAO150,123750,57947.53265,24100,41.6005,6.7482,0.3595,
NRAO150,145651,57965.6292,24100,15.8871,3.7478,0.2807,
NRAO150,71324,57981.30736,24100,70.9925,7.3061,0.2164,
NRAO150,111307,57981.47381,24100,34.7146,6.5368,0.3941,
NRAO150,1842,58043.01937,24100,77.4652,7.3057,0.1558,
NRAO150,41442,58043.18324,24100,60.7639,7.6694,0.2049,
NRAO150,120944,57837.51043,8520,61.3724,10.0641,0.0379,
NRAO150,91938,57875.39231,8520,58.1286,10.3471,0.0326,
NRAO150,80523,57920.34076,8520,74.2055,9.9575,0.0388,
NRAO150,42916,57947.19066,8520,56.9949,11.1837,0.0341,
NRAO150,41656,57982.18213,8520,76.4942,10.7126,0.0346,
NRAO150,12445,58013.06253,8520,68.7911,10.9023,0.0331,
NRAO150,114732,58324.49515,4835,36.4029,9.3459,0.0339,
NRAO150,225354,58324.9579,4835,13.5006,8.9267,0.0587,
