Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
OJ287,171840,55973.72266,5125,24.5967,5.3002,0.123,
OJ287,143908,56002.61328,5125,16.2886,5.0943,0.1341,
OJ287,112731,56068.48047,5125,28.3243,5.2301,0.1253,
OJ287,100500,56096.42188,5125,33.2516,5.3028,0.1035,
OJ287,31321,56205.13672,5125,36.2562,4.4855,0.0767,
OJ287,64109,56205.28125,5125,64.9919,3.6151,0.0386,
OJ287,101331,56205.42969,5125,44.2603,4.3027,0.0463,
OJ287,90417,56250.37891,5125,25.2131,4.5287,0.0649,
OJ287,73944,56272.32031,5125,24.867,3.9426,0.0744,
OJ287,181523,55973.76562,8305,34.7208,5.7961,0.3518,
OJ287,152740,56002.64453,8305,24.8665,5.5432,0.7091,
OJ287,133100,56033.56641,8305,25.7985,5.9549,0.4836,
OJ287,143907,56033.61328,8305,37.9378,6.3499,0.5027,
OJ287,123629,56068.52734,8305,40.5725,5.983,0.3287,
OJ287,133622,56096.57031,8305,64.2723,5.1329,0.2273,
OJ287,135920,56139.58594,8305,49.8823,4.6115,0.3139,
OJ287,122550,56175.51953,8305,41.7783,4.3669,0.2521,
OJ287,82441,56204.35156,8305,61.0258,4.9874,0.2122,
OJ287,100420,56204.42188,8305,46.4879,4.6865,0.215,
OJ287,124842,56204.53516,8305,17.5008,4.2349,0.2037,
OJ287,232444,56272.97656,8305,43.0388,3.3815,0.2404,
OJ287,25455,56273.125,8305,65.3056,2.6747,0.1677,
OJ287,62420,56273.26953,8305,37.6065,3.5017,0.2216,
OJ287,231906,56314.97656,5125,64.135,3.2328,0.0292,
OJ287,170847,56394.71875,5125,59.0049,3.8758,0.0239,
OJ287,203757,56394.86328,5125,54.5443,4.1676,0.0234,
OJ287,150107,56418.63281,5125,54.4803,3.9375,0.0242,
OJ287,131854,56474.55859,5125,65.026,3.6258,0.0229,
OJ287,110929,56489.46875,5125,60.6613,3.6463,0.0286,
OJ287,73824,56538.32422,5125,58.4827,4.4299,0.0336,
OJ287,231445,56313.97266,8305,63.4226,3.2782,0.0959,
OJ287,13225,56314.06641,8305,58.2734,3.2741,0.1021,
OJ287,171344,56393.72266,8305,59.1308,4.9631,0.1135,
OJ287,151107,56419.63672,8305,56.6316,4.4567,0.1197,
OJ287,130745,56476.55078,8305,65.194,3.9929,0.1372,
OJ287,112306,56490.48047,8305,62.588,4.1232,0.1601,
OJ287,100841,56510.42969,8305,62.9524,5.0524,0.1367,
OJ287,75416,56539.33594,8305,60.9861,5.2431,0.1081,
OJ287,224254,56678.95042,5075,60.698,2.9495,0.0244,
OJ287,205051,56701.87259,5075,58.0131,2.7309,0.019,
OJ287,225204,56679.9567,8305,62.172,2.8394,0.0492,
OJ287,11515,56680.05618,8305,60.4565,2.8892,0.0498,
OJ287,204933,56700.87158,8520,57.3969,2.7741,0.0229,
OJ287,232521,56700.97985,8520,63.2221,2.8631,0.02,
OJ287,213853,57055.90596,5075,58.509,4.0991,0.0228,
OJ287,174257,57102.7421,5075,51.0052,4.0358,0.0327,
OJ287,201955,57102.85119,5075,65.4265,4.0846,0.035,
OJ287,190751,57161.80111,5075,47.0825,4.2828,0.0543,
OJ287,85737,57276.37774,5075,65.3773,3.671,0.0363,
OJ287,63704,57301.2801,5075,64.7734,3.4904,0.0419,
OJ287,44635,57337.20338,5075,65.5223,2.7693,0.0447,
OJ287,13734,57371.07205,5075,63.0852,2.7469,0.0312,
OJ287,150618,57161.63501,24600,61.8089,3.9831,0.4746,
OJ287,80401,57276.3442,24100,64.5434,3.8051,0.259,
OJ287,61242,57337.26672,24100,58.6037,3.5449,0.092,
OJ287,215613,57370.91985,24100,29.4268,3.8698,0.0831,
OJ287,203520,57056.86175,8520,49.761,5.2219,0.0257,
OJ287,184251,57101.78363,8520,59.2192,4.8496,0.0249,
OJ287,211848,57101.89197,8520,61.9125,4.9947,0.0232,
OJ287,144327,57160.61734,8520,58.2587,4.6715,0.0329,
OJ287,172630,57160.73066,8520,61.9432,4.7575,0.0399,
OJ287,105502,57276.45897,8520,53.4608,3.8542,0.0199,
OJ287,100133,57300.42179,8520,46.8924,3.4805,0.0201,
OJ287,71438,57337.30593,8520,50.4096,2.854,0.0229,
OJ287,33156,57371.15126,8520,62.4114,3.0655,0.0216,
OJ287,15929,57401.08736,5075,59.6571,2.9403,0.0458,
OJ287,200052,57433.83824,5075,51.5914,2.6628,0.0679,
OJ287,181127,57468.76225,5075,55.8671,2.778,0.0413,
OJ287,165452,57498.70865,5075,61.1,2.8665,0.0754,
OJ287,183751,57525.78018,5075,52.7446,2.9131,0.0776,
OJ287,125242,57559.54047,5075,60.8407,3.226,0.0454,
OJ287,113018,57581.48326,5075,61.2966,3.2458,0.0925,
OJ287,81837,57720.35,5075,27.4028,3.986,0.078,
OJ287,21632,57739.09856,5075,65.5036,4.2396,0.0705,
OJ287,234523,57400.99793,22664,64.0863,4.0236,0.0751,
OJ287,215544,57433.91775,8520,64.8655,3.0641,0.039,
OJ287,200517,57468.8411,8520,65.5226,3.4171,0.0195,
OJ287,183958,57498.78145,8520,64.6376,3.5925,0.0223,
OJ287,110808,57526.46769,8520,22.5424,3.447,0.0269,
OJ287,121615,57526.515,8520,34.6979,3.4225,0.0333,
OJ287,133158,57526.56757,8520,47.8268,3.3136,0.0271,
OJ287,143518,57559.61156,8520,64.8807,4.0024,0.025,
OJ287,163946,57559.69798,8520,50.1932,4.0172,0.0213,
OJ287,130835,57581.55134,8520,64.891,4.5457,0.0233,
OJ287,2029,57721.01787,8520,43.6127,5.135,0.0253,
OJ287,40611,57721.1746,8520,64.4717,5.0316,0.0207,
OJ287,81333,57721.34444,8520,27.979,5.2821,0.0417,
OJ287,24155,57738.11607,8520,65.2577,5.2662,0.0202,
OJ287,64500,57738.28488,8520,31.3616,5.583,0.0306,
OJ287,201447,57811.84635,5075,60.2856,5.6034,0.1342,
OJ287,151931,57920.64137,5075,63.1955,5.1416,0.1632,
OJ287,13802,57778.07074,8520,56.6046,6.5076,0.0284,
OJ287,40806,57778.17496,8520,31.5377,6.757,0.039,
OJ287,215722,57811.91751,8520,65.0763,7.1823,0.0276,
OJ287,224524,57836.95086,8520,47.3778,7.3142,0.0364,
OJ287,193025,57875.81545,8520,54.0226,5.9057,0.0284,
OJ287,171919,57920.72442,8520,46.6719,6.5383,0.0431,
OJ287,194435,57920.8253,8520,21.0601,6.6749,0.0516,
OJ287,164330,57946.69954,8520,35.1317,6.9888,0.058,
OJ287,140326,57947.58838,8520,60.0341,6.7559,0.0391,
OJ287,130032,57981.5447,8520,49.8238,5.8993,0.0317,
OJ287,153901,57981.65476,8520,22.0961,5.595,0.0451,
OJ287,92613,58013.39587,8520,62.0061,4.8103,0.0263,
OJ287,150006,58323.62781,4835,44.4768,4.8372,0.0493,
