Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
PG1553+113,33755,56395.15625,5125,47.2102,0.2474,0.0251,
PG1553+113,12914,56419.06641,5125,51.2734,0.2497,0.0232,
PG1553+113,222918,56489.94141,5125,37.6097,0.3472,0.0527,
PG1553+113,174051,56538.74219,5125,50.9103,0.2369,0.0375,
PG1553+113,122722,56643.52297,5075,38.0329,0.2304,0.0238,
PG1553+113,13144,56420.07031,8305,50.8147,0.198,0.0934,
PG1553+113,174759,56539.74609,8305,49.9026,0.131,0.0764,
PG1553+113,74952,56745.33024,5075,16.6283,0.2768,0.0475,
PG1553+113,72300,56701.31164,8520,49.1226,0.2264,0.0352,
PG1553+113,81125,57103.3452,5075,17.8725,0.28,0.0363,
PG1553+113,134908,57276.58239,5075,48.8521,0.2422,0.0345,
PG1553+113,161140,57276.69083,24100,55.1921,0.225,0.0483,
PG1553+113,131924,57300.57119,24100,55.9227,0.3115,0.0305,
PG1553+113,52451,57102.22958,8520,46.186,0.2278,0.0225,
PG1553+113,81558,57102.34836,8520,17.7617,0.2207,0.0321,
PG1553+113,145848,57239.63253,8520,38.2938,0.2216,0.0156,
PG1553+113,122636,57276.52685,8520,37.2054,0.2128,0.0138,
PG1553+113,113600,57300.49162,8520,43.9999,0.2261,0.0123,
PG1553+113,84451,57337.37282,8520,40.1014,0.2515,0.0147,
PG1553+113,50725,57371.22183,8520,25.9926,0.198,0.0162,
PG1553+113,52233,57469.24001,24100,42.7864,0.3109,0.1139,
PG1553+113,231648,57498.98519,24100,51.0208,0.1523,0.0379,
PG1553+113,35608,57499.17917,24100,38.043,0.1706,0.0414,
PG1553+113,175952,57581.76511,24100,52.0295,0.2829,0.0504,
PG1553+113,92506,57401.39648,8520,48.7423,0.2275,0.0224,
PG1553+113,195034,57498.83049,8520,15.262,0.2985,0.0311,
PG1553+113,154549,57559.66053,8520,14.3879,0.1865,0.0317,
PG1553+113,55249,57721.24865,8520,22.2139,0.2238,0.0302,
PG1553+113,41846,57738.18333,8520,17.3422,0.2334,0.0357,
PG1553+113,82005,57738.35091,8520,53.8781,0.2072,0.0205,
PG1553+113,83331,57757.36579,24100,55.8768,0.2102,0.0317,
PG1553+113,43116,57779.19474,24100,46.886,0.1722,0.0476,
PG1553+113,201037,57946.84706,24100,55.875,0.1986,0.0581,
PG1553+113,132619,58042.5663,24100,56.5977,0.207,0.0369,
PG1553+113,54232,57757.24731,8520,45.2809,0.1856,0.0136,
PG1553+113,55643,57757.25715,8520,47.234,0.1914,0.0132,
PG1553+113,61247,57757.2659,8520,49.282,0.2264,0.016,
PG1553+113,110033,57757.46814,8520,39.0697,0.1902,0.011,
PG1553+113,111443,57757.47798,8520,36.7732,0.2013,0.0166,
PG1553+113,90602,57776.38863,8520,45.1035,0.2315,0.0229,
PG1553+113,92956,57776.40522,8520,41.5562,0.2398,0.0171,
PG1553+113,54838,57778.24477,8520,54.2334,0.226,0.0269,
PG1553+113,232928,57811.98146,8520,17.3987,0.23,0.0317,
PG1553+113,2945,57837.02332,8520,44.1189,0.2189,0.0344,
PG1553+113,210418,57875.88065,8520,35.9468,0.2033,0.0318,
PG1553+113,182520,57946.77025,8520,52.6008,0.2263,0.033,
PG1553+113,154311,57947.65765,8520,29.541,0.1881,0.0417,
PG1553+113,63725,58191.28234,22664,38.4945,0.2198,0.2191,
PG1553+113,140604,58403.58873,24100,56.3819,0.218,0.1178,
PG1553+113,140836,58403.59566,24100,55.9279,0.2036,0.0572,
PG1553+113,84022,58467.37619,24100,55.8753,0.2065,0.0235,
PG1553+113,21514,58160.09657,8520,34.5277,0.1893,0.033,
PG1553+113,191826,58254.80714,8520,27.0903,0.1981,0.0333,
PG1553+113,152108,58383.6404,8520,56.4037,0.2451,0.0468,
PG1553+113,85038,58435.37115,8520,41.0663,0.217,0.0256,
PG1553+113,42729,58532.20059,24100,55.9879,0.2128,0.0213,
PG1553+113,34749,58557.17301,24100,56.0489,0.1724,0.025,
PG1553+113,43838,58557.20807,24100,52.4348,0.188,0.0249,
PG1553+113,5232,58589.05131,24100,56.3061,0.2215,0.0242,
PG1553+113,14331,58589.0867,24100,55.9882,0.2354,0.0235,
PG1553+113,223403,58625.95513,24100,56.476,0.2421,0.0319,
PG1553+113,205316,58658.88515,24100,56.4577,0.2374,0.0373,
PG1553+113,183954,58687.79254,24100,56.5994,0.2619,0.0394,
PG1553+113,193058,58687.82798,24100,55.1264,0.2765,0.038,
