Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
PKS1441+25,55937,58468.28337,24100,63.1005,0.1746,0.014,
PKS1441+25,14900,58532.10936,24100,63.2409,0.1463,0.0127,
PKS1441+25,545,58557.03764,24100,62.5392,0.1288,0.016,
PKS1441+25,215933,58588.94999,24100,62.4832,0.1332,0.0184,
PKS1441+25,192452,58625.84258,24100,61.153,0.1605,0.0195,
PKS1441+25,180519,58658.78734,24100,67.5416,0.1615,0.0247,
PKS1441+25,154242,58687.68832,24100,64.202,0.1612,0.0307,
PKS1441+25,104533,58781.48197,24100,70.3134,0.1683,0.0396,
PKS1441+25,75136,58809.36114,24100,65.2856,0.1561,0.0241,
PKS1441+25,32856,58532.15068,8520,69.4226,0.2357,0.018,
PKS1441+25,20519,58557.0926,8520,70.1388,0.2231,0.0175,
PKS1441+25,235910,58589.00501,8520,70.1284,0.2218,0.0147,
PKS1441+25,213902,58625.90769,8520,70.289,0.2245,0.0184,
PKS1441+25,193455,58658.83313,8305,70.3065,0.2152,0.0137,
PKS1441+25,172221,58687.74108,8305,70.3694,0.2293,0.0129,
PKS1441+25,161904,58709.6971,8520,70.1796,0.2056,0.0085,
PKS1441+25,92042,58809.40658,8305,70.3285,0.2455,0.0148,
PKS1441+25,32420,58908.14504,6075,75.3963,0.2424,0.0069,
PKS1441+25,22718,58908.11102,23840,71.4542,0.14,0.0033,
PKS1441+25,141610,59072.62817,24100,62.9776,0.1567,0.034,
PKS1441+25,154500,59072.67347,8305,69.6491,0.2098,0.0126,
PKS1441+25,165828,59072.71042,8305,69.9534,0.2067,0.029,
PKS1441+25,134857,59104.59287,8305,70.1006,0.2189,0.0132,
PKS1441+25,121310,59130.52635,8305,70.2934,0.2005,0.0128,
PKS1441+25,103343,59130.47369,24100,63.7474,0.1469,0.0196,
PKS1441+25,95413,59165.42988,8305,70.2586,0.1957,0.012,
PKS1441+25,74839,59198.34267,8305,70.3471,0.2139,0.0132,
PKS1441+25,53848,59230.25248,8305,70.2557,0.2291,0.015,
PKS1441+25,40412,59230.20326,24100,64.2339,0.1331,0.0132,
PKS1441+25,33643,59261.16771,8305,70.2491,0.2151,0.0145,
PKS1441+25,20537,59261.12086,24100,64.6522,0.1473,0.0158,
PKS1441+25,13043,59292.08021,8305,70.123,0.2202,0.0122,
PKS1441+25,235928,59292.03325,24100,64.0922,0.1499,0.0141,
PKS1441+25,11926,59297.07237,8305,70.3431,0.2185,0.0136,
PKS1441+25,235514,59297.03029,24100,66.0169,0.1531,0.0135,
PKS1441+25,212851,59353.91224,8305,70.1873,0.2165,0.0122,
PKS1441+25,194628,59354.85757,24100,63.3811,0.1346,0.0166,
PKS1441+25,212433,59354.90477,24100,70.0031,0.1383,0.025,
