Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
S41849+67,141106,55754.59375,5125,29.0607,1.654,0.0624,
S41849+67,120138,55774.50391,5125,26.0347,1.4984,0.0766,
S41849+67,143754,55783.61328,5125,40.1473,1.5199,0.0734,
S41849+67,131547,55812.55469,5125,43.1099,1.4484,0.0547,
S41849+67,131609,55826.55469,5125,48.4391,1.4618,0.0511,
S41849+67,94812,55881.41016,5125,49.2531,1.4149,0.1344,
S41849+67,153757,55754.65625,8305,35.5323,2.1416,0.1649,
S41849+67,134421,55770.57422,8305,31.4844,1.5885,0.2194,
S41849+67,160728,55783.67578,8305,48.6574,2.0398,0.169,
S41849+67,143606,55812.60938,8305,50.8651,1.9655,0.181,
S41849+67,154906,55826.66016,8305,62.3477,1.9263,0.2654,
S41849+67,162236,55826.68359,8305,64.4287,1.8075,0.4199,
S41849+67,125849,55847.54297,8305,54.7555,1.7691,0.149,
S41849+67,114821,55881.49609,8305,60.4482,1.7321,0.1127,
