Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
TXS0506+056,123516,58214.5342,4835,44.6966,0.7439,0.042,
TXS0506+056,124952,58214.54436,4835,47.0546,0.7665,0.0993,
TXS0506+056,133957,58214.57912,4835,53.9518,0.6965,0.0521,
TXS0506+056,144252,58214.62282,4835,58.6152,0.742,0.0478,
TXS0506+056,82053,58324.35756,4835,57.8572,0.8929,0.022,
TXS0506+056,83530,58324.36771,4835,56.8771,0.8687,0.0223,
TXS0506+056,92211,58324.40013,4835,51.9042,0.8829,0.0158,
TXS0506+056,93648,58324.41028,4835,49.8915,0.8535,0.0219,
TXS0506+056,104745,58324.45954,4835,38.1935,0.8249,0.0203,
TXS0506+056,110221,58324.46968,4835,35.521,0.8393,0.0201,
TXS0506+056,190819,58136.80356,24100,47.9918,0.6505,0.0441,
TXS0506+056,130420,58224.55126,24100,46.2555,0.8863,0.062,
TXS0506+056,124020,58225.53719,24100,44.554,0.8841,0.0743,
TXS0506+056,152209,58254.64957,24100,36.5994,0.9034,0.0824,
TXS0506+056,111640,58290.47742,24100,48.7873,0.9489,0.0686,
TXS0506+056,45559,58383.21073,24100,50.0119,0.8337,0.0699,
TXS0506+056,192632,58467.81457,24100,32.7247,0.9813,0.0451,
TXS0506+056,193528,58136.81968,8520,49.7152,0.7414,0.0206,
TXS0506+056,184308,58159.78527,8520,51.1615,0.7222,0.0152,
TXS0506+056,152027,58187.64864,8520,45.6825,0.7831,0.0116,
TXS0506+056,121913,58224.51794,8520,40.5141,0.7606,0.0207,
TXS0506+056,120516,58290.50753,8520,44.5871,0.7921,0.0247,
TXS0506+056,53514,58383.23522,8520,47.4029,0.8764,0.0364,
TXS0506+056,182239,58467.76936,8520,21.7345,1.0144,0.0649,
TXS0506+056,174513,58499.74421,24100,36.4838,1.0885,0.0803,
TXS0506+056,152356,58532.64609,24100,34.7498,1.2766,0.0596,
TXS0506+056,135741,58556.5862,24100,35.986,1.9124,0.1574,
TXS0506+056,95258,58626.41626,24100,40.3561,1.5796,0.0882,
TXS0506+056,73501,58659.32046,24100,39.2225,1.5812,0.1063,
TXS0506+056,54029,58688.24093,24100,39.154,1.6762,0.1106,
TXS0506+056,11016,58758.05327,24100,39.8439,1.8904,0.0912,
TXS0506+056,32158,58758.14474,24100,51.0812,1.9216,0.0959,
TXS0506+056,20015,58780.08798,24100,51.1477,1.9853,0.2709,
TXS0506+056,215728,58808.91939,24100,40.8864,2.0571,0.1314,
TXS0506+056,163610,58499.69542,8520,25.0595,0.9532,0.0231,
TXS0506+056,140809,58532.59264,8520,21.9236,1.0418,0.0265,
TXS0506+056,123845,58556.53054,8520,22.7803,1.1762,0.0227,
TXS0506+056,103022,58588.44139,8520,22.3397,1.3787,0.0323,
TXS0506+056,60605,58659.26268,8305,26.0725,1.5619,0.0348,
TXS0506+056,41504,58688.18559,8305,26.5792,1.4495,0.0283,
TXS0506+056,24949,58710.1264,8520,26.7916,1.5927,0.0222,
TXS0506+056,234545,58757.99858,8520,27.5715,1.8778,0.0454,
TXS0506+056,222756,58776.94454,8305,27.0466,1.932,0.0252,
TXS0506+056,202407,58808.85856,8305,27.3799,1.8184,0.0272,
TXS0506+056,143312,58908.60874,6075,33.4581,1.8747,0.012,
