Data retrieved from old Bach lists
Notice: 
    - exact frequencies are unknown, generic band indicators are used
    - elevations are unknown, a dummy value is used
 
 
        Name    HHMMSS       # MJD    Freq     Elev      Flux    e_Flux  
                                       MHz      deg        Jy        Jy
 
       0219+428 161159 53372.67500 22000.0   0.0000    0.8430    0.0710
       0219+428 144828 53377.61700 22000.0   0.0000    0.9290    0.0690
       0219+428 161159 53377.67500 22000.0   0.0000    0.9120    0.0750
       0219+428 161159 53379.67500 22000.0   0.0000    0.9520    0.0750
       0219+428 144828 53380.61700 22000.0   0.0000    0.8740    0.0750
       0219+428 161159 53380.67500 22000.0   0.0000    0.9750    0.0750
       0219+428 123307 53413.52300 22000.0   0.0000    0.7760    0.0540
       0219+428 124019 53414.52800 22000.0   0.0000    0.6780    0.1180
       0219+428 101033 53441.42400 22000.0   0.0000    0.8260    0.0440
       0219+428 101033 53443.42400 22000.0   0.0000    0.7480    0.0440
       0219+428 143238 53750.60600 22000.0   0.0000    0.6420    0.1660
       0219+428 202107 53765.84800 22000.0   0.0000    0.9490    0.3010
       0219+428 160907 53772.67300 22000.0   0.0000    0.8990    0.2730
       0219+428 122136 53805.51500 22000.0   0.0000    0.8910    0.3420
       0219+428 123852 53805.52700 22000.0   0.0000    0.9960    0.3200
       0219+428 140350 53849.58600 22000.0   0.0000    0.7840    0.3250
       0219+428 123307 53861.52300 22000.0   0.0000    1.0320    0.2640
       0219+428 125150 53861.53600 22000.0   0.0000    1.0320    0.3180
       0219+428 063433 53955.27400 22000.0   0.0000    1.2280    0.3100
       0219+428 053531 53973.23300 22000.0   0.0000    1.2220    0.3180
       0219+428 055540 53973.24700 22000.0   0.0000    1.2100    0.2950
       0219+428 021228 54010.09200 22000.0   0.0000    1.7090    0.3280
       0219+428 211257 54021.88400 22000.0   0.0000    1.5080    0.2580
       0219+428 213307 54021.89800 22000.0   0.0000    1.3320    0.2710
       0219+428 195219 54056.82800 22000.0   0.0000    1.6070    0.4550
       0219+428 201102 54056.84100 22000.0   0.0000    1.2320    0.5510
       0219+428 192916 54119.81200 22000.0   0.0000    1.1840    0.3860
       0219+428 194800 54119.82500 22000.0   0.0000    1.1210    0.3870
       0219+428 200809 54119.83900 22000.0   0.0000    1.2550    0.3750
       0219+428 202652 54119.85200 22000.0   0.0000    0.9000    0.4200
       0219+428 101619 54183.42800 22000.0   0.0000    1.0670    0.2470
       0219+428 103502 54183.44100 22000.0   0.0000    0.9670    0.2260
       0219+428 111228 54183.46700 22000.0   0.0000    0.9030    0.2380
       0219+428 080935 54218.34000 22000.0   0.0000    0.9230    0.3090
       0219+428 080935 54218.34000 22000.0   0.0000    0.9230    0.3090
       0219+428 082819 54218.35300 22000.0   0.0000    0.8910    0.3300
       0219+428 082819 54218.35300 22000.0   0.0000    0.8910    0.3300
       0219+428 084702 54218.36600 22000.0   0.0000    0.9570    0.3220
       0219+428 084702 54218.36600 22000.0   0.0000    0.9570    0.3220
       0219+428 030545 54274.12900 22000.0   0.0000    0.8320    0.5030
       0219+428 032428 54274.14200 22000.0   0.0000    0.8160    0.3940
       0219+428 034438 54274.15600 22000.0   0.0000    1.0710    0.3750
       0219+428 084955 54288.36800 22000.0   0.0000    0.8340    0.2990
       0219+428 090838 54288.38100 22000.0   0.0000    0.9810    0.3150
       0219+428 014926 54323.07600 22000.0   0.0000    1.0160    0.5170
       0219+428 004731 54345.03300 22000.0   0.0000    0.8510    0.3600
       0219+428 014507 54345.07300 22000.0   0.0000    0.9150    0.3210
       0219+428 050516 54372.21200 22000.0   0.0000    1.4870    0.4480
       0219+428 052526 54372.22600 22000.0   0.0000    1.4640    0.5310
       0219+428 040907 54386.17300 22000.0   0.0000    1.4350    0.1900
       0219+428 144536 54455.61500 22000.0   0.0000    0.9410    0.1430
       0219+428 145833 54455.62400 22000.0   0.0000    0.7570    0.1890
       0219+428 151131 54455.63300 22000.0   0.0000    1.3520    0.1670
       0219+428 153852 54460.65200 22000.0   0.0000    1.1020    0.3110
       0219+428 185024 54510.78500 22000.0   0.0000    1.4620    0.2150
       0219+428 160614 54561.67100 22000.0   0.0000    1.2990    0.1620
       0219+428 162624 54561.68500 22000.0   0.0000    1.4330    0.1470
       0219+428 084828 54651.36700 22000.0   0.0000    1.1970    0.2450
       0219+428 090252 54651.37700 22000.0   0.0000    1.4040    0.3010
       0219+428 072750 54666.31100 22000.0   0.0000    0.8410    0.1880
       0219+428 074047 54666.32000 22000.0   0.0000    1.0440    0.1770
       0219+428 062555 54687.26800 22000.0   0.0000    0.9450    0.1780
       0219+428 033140 54722.14700 22000.0   0.0000    1.0840    0.2680
       0219+428 005024 54779.03500 22000.0   0.0000    0.6550    0.2690
       0219+428 161745 54911.67900 22000.0   0.0000    1.5360    0.5500
       0219+428 163043 54911.68800 22000.0   0.0000    0.9210    0.4150
       0219+428 101033 55001.42400 22000.0   0.0000    1.2870    0.3340
       0219+428 024409 55062.11400 22000.0   0.0000    0.9510    0.1970
       0219+428 025833 55062.12400 22000.0   0.0000    0.6080    0.1660
       0219+428 012916 55099.06200 22000.0   0.0000    1.1770    0.6360
       0219+428 015345 55121.07900 22000.0   0.0000    1.3960    0.2300
       0219+428 020809 55121.08900 22000.0   0.0000    0.6130    0.1700
       0219+428 205707 55208.87300 22000.0   0.0000    0.6040    0.2790
       0219+428 211004 55208.88200 22000.0   0.0000    1.3190    0.2350
       0219+428 053238 53855.23100 43000.0   0.0000    1.2720    0.6830
       0219+428 070155 53855.29300 43000.0   0.0000    1.0400    0.6000
       0219+428 043209 53879.18900 43000.0   0.0000    1.0480    0.4590
       0219+428 060126 53879.25100 43000.0   0.0000    0.8930    0.4340
       0219+428 013502 53931.06600 43000.0   0.0000    1.1630    0.4800
       0219+428 030545 53931.12900 43000.0   0.0000    1.0240    0.4770
       0219+428 233657 53950.98400 43000.0   0.0000    1.4250    0.5010
       0219+428 010614 53951.04600 43000.0   0.0000    1.1720    0.4240
       0219+428 233950 53951.98600 43000.0   0.0000    1.2080    0.4250
       0219+428 010614 53952.04600 43000.0   0.0000    1.4820    0.4750
       0219+428 233657 53952.98400 43000.0   0.0000    1.3050    0.4620
       0219+428 010614 53953.04600 43000.0   0.0000    1.4940    0.4750
       0219+428 225052 53970.95200 43000.0   0.0000    1.3040    0.4910
       0219+428 225052 53971.95200 43000.0   0.0000    1.3050    0.5070
       0219+428 000545 53972.00400 43000.0   0.0000    1.3130    0.4700
       0219+428 000545 53973.00400 43000.0   0.0000    1.0480    0.4550
       0219+428 203657 53998.85900 43000.0   0.0000    1.2640    0.3860
       0219+428 220614 53998.92100 43000.0   0.0000    1.1210    0.3740
       0219+428 203657 53999.85900 43000.0   0.0000    1.2160    0.3710
       0219+428 220614 53999.92100 43000.0   0.0000    1.4070    0.4140
       0219+428 203657 54000.85900 43000.0   0.0000    1.5110    0.4170
       0219+428 183559 54025.77500 43000.0   0.0000    1.1200    0.4830
       0219+428 195052 54025.82700 43000.0   0.0000    1.0390    0.5540
       0219+428 195219 54026.82800 43000.0   0.0000    1.2040    0.5310
       0219+428 023657 54277.10900 43000.0   0.0000    1.1720    0.1470
       0219+428 040740 54277.17200 43000.0   0.0000    1.0050    0.1090
       0219+428 233531 54320.98300 43000.0   0.0000    0.8740    0.2000
       0219+428 010614 54321.04600 43000.0   0.0000    1.0260    0.1580
       0219+428 233404 54321.98200 43000.0   0.0000    0.8030    0.2080
       0219+428 010614 54322.04600 43000.0   0.0000    0.9000    0.1500
       0219+428 220614 54364.92100 43000.0   0.0000    1.0990    0.1380
       0219+428 220614 54365.92100 43000.0   0.0000    0.9390    0.1420
       0219+428 203657 54366.85900 43000.0   0.0000    0.8990    0.1260
       0219+428 220614 54366.92100 43000.0   0.0000    0.9720    0.1290
       0219+428 193628 54390.81700 43000.0   0.0000    1.1010    0.1340
       0219+428 210711 54390.88000 43000.0   0.0000    1.0340    0.1370
       0219+428 182136 54421.76500 43000.0   0.0000    1.1640    0.1870
       0219+428 165219 54422.70300 43000.0   0.0000    0.8810    0.1530
       0219+428 182302 54422.76600 43000.0   0.0000    1.0370    0.1650
       0219+428 165052 54423.70200 43000.0   0.0000    1.0670    0.1640
       0219+428 182136 54423.76500 43000.0   0.0000    1.2590    0.2060
       0219+428 165052 54424.70200 43000.0   0.0000    0.8850    0.1280
       0219+428 182136 54424.76500 43000.0   0.0000    1.2040    0.1720
       0219+428 155150 54435.66100 43000.0   0.0000    1.5230    0.4670
       0219+428 172107 54435.72300 43000.0   0.0000    1.1460    0.2350
       0219+428 165219 54436.70300 43000.0   0.0000    1.0630    0.2410
       0219+428 182136 54436.76500 43000.0   0.0000    1.2800    0.2140
       0219+428 165219 54437.70300 43000.0   0.0000    1.0620    0.2230
       0219+428 182136 54437.76500 43000.0   0.0000    1.3740    0.2380
       0219+428 135219 54479.57800 43000.0   0.0000    1.2820    0.2580
       0219+428 152302 54479.64100 43000.0   0.0000    1.3300    0.2400
       0219+428 135219 54480.57800 43000.0   0.0000    1.1250    0.2010
       0219+428 152136 54480.64000 43000.0   0.0000    1.1890    0.1940
       0219+428 105052 54521.45200 43000.0   0.0000    0.8820    0.1310
       0219+428 122009 54521.51400 43000.0   0.0000    0.9190    0.1400
       0219+428 105219 54522.45300 43000.0   0.0000    0.8050    0.1100
       0219+428 122136 54522.51500 43000.0   0.0000    0.8710    0.1130
       0219+428 105052 54523.45200 43000.0   0.0000    1.0750    0.1360
       0219+428 075219 54556.32800 43000.0   0.0000    1.0770    0.1310
