Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),
1221+21,153805,55326.65625,5125,29.2125,1.3643,0.0286,
3C147,154903,55326.66016,5125,67.4371,7.2801,0.076,
3C147,160001,55326.66797,5125,65.6642,7.262,0.0717,
MRK421,162656,55326.69141,5125,61.7528,0.6235,0.0273,
1221+21,163755,55326.69922,5125,39.873,1.3825,0.0287,
3C147,164923,55326.70312,5125,57.8073,7.2978,0.0762,
3C147,135625,55327.58203,5125,83.563,4.3832,0.204,
MRK421,142320,55327.60547,5125,40.7081,0.6514,0.0283,
1221+21,143418,55327.61328,5125,18.6107,1.3084,0.034,
3C147,144517,55327.61719,5125,76.9755,7.2017,0.0802,
MRK421,94716,55539.41406,5125,36.83,0.6354,0.0412,
MRK421,100613,55539.43359,5125,31.8787,0.6425,0.0389,
MRK421,85605,55551.37891,5125,36.8317,0.6516,0.0438,
MRK421,91902,55551.40234,8305,31.8803,0.6518,0.0444,
MRK421,101916,55558.43359,5125,20.2104,0.6099,0.0548,
MRK421,5621,55219.03906,20000,75.0168,0.5679,0.068,
NESCI,10120,55219.04688,20000,75.1531,0.2169,0.0601,
MRK421,5225,55220.03906,20000,75.0172,0.4844,0.0668,
NESCI,5724,55220.04297,20000,75.1514,0.1703,0.0372,
3C84,155457,55220.66406,20000,63.9903,19.7712,0.4119,
MRK421,4433,55222.03125,20000,75.0166,0.373,0.0764,
NESCI,4932,55222.03516,20000,75.1513,0.1439,0.062,
MRK421,151021,55312.63281,20000,37.414,0.3434,0.1386,
MRK421,162818,55315.6875,20000,52.993,0.0512,0.0133,
MRK421,103913,55558.44922,8305,17.3089,0.6073,0.2134,
MRK421,104911,55558.45312,8305,15.8979,0.526,0.2049,
MRK421,93205,55570.40234,5125,20.2115,0.6297,0.0511,
MRK421,94203,55570.40625,5125,18.7482,0.6471,0.0529,
MRK421,84540,55578.36719,5125,23.2107,0.6161,0.1058,
MRK421,85039,55578.37109,5125,21.6996,0.6322,0.0511,
MRK421,81220,55588.34375,5125,21.6999,0.6442,0.0488,
MRK421,82119,55588.35156,5125,20.2124,0.7108,0.0458,
MRK421,64607,55615.28516,5125,18.7516,0.6832,0.0438,
MRK421,204422,55655.86719,5125,80.8573,0.6808,0.0347,
MRK421,205441,55655.875,5125,82.1599,0.7122,0.0371,
MRK501,210504,55655.88281,5125,25.9997,1.5345,0.0403,
MRK501,211433,55655.88672,5125,27.4568,1.518,0.0437,
MRK421,202001,55685.85156,5125,77.2968,0.6712,0.0438,
MRK421,203330,55685.85938,5125,75.1221,0.663,0.0672,
MRK501,204536,55685.86719,5125,41.8435,1.4675,0.0451,
MRK501,205523,55685.875,5125,43.5908,1.4675,0.0426,
MRK421,211018,55685.88672,5125,68.8393,0.7072,0.0357,
MRK421,212253,55685.89453,5125,66.628,0.7637,0.0458,
MRK501,213427,55685.90234,5125,50.2423,1.6565,0.2618,
MRK501,214606,55685.91016,5125,52.279,1.4029,0.2829,
MRK421,171954,55697.72656,5125,74.6049,0.7279,0.0492,
MRK421,173009,55697.73047,5125,76.2393,0.7607,0.0919,
MRK421,173756,55706.73828,5125,82.5642,0.6832,0.0442,
MRK501,175955,55706.75391,5125,28.3713,1.4525,0.0517,
MRK501,180918,55706.75781,5125,29.8438,1.4763,0.0553,
MRK421,134933,55754.57812,5125,76.9068,0.5987,0.091,
0948+0022,140013,55754.58594,5125,45.4681,0.332,0.0324,
S41849+67,141106,55754.59375,5125,29.0607,1.654,0.0624,
MRK501,164045,55754.69922,5125,46.4481,1.4835,0.0392,
1510-089,165137,55754.70703,5125,29.0745,1.3778,0.0409,
MRK421,114353,55774.49219,5125,68.581,0.5533,0.0464,
0948+0022,115233,55774.49609,5125,45.4284,0.3162,0.0453,
S41849+67,120138,55774.50391,5125,26.0347,1.4984,0.0766,
0948+0022,134239,55783.57422,5125,38.2984,0.3985,0.0437,
BS0846+513,135557,55783.58594,5125,56.5606,0.179,0.0498,
MRK421,141509,55783.59766,5125,73.9265,0.607,0.0458,
MRK501,142711,55783.60547,5125,43.0183,1.4721,0.0465,
S41849+67,143754,55783.61328,5125,40.1473,1.5199,0.0734,
1510-089,144845,55783.62109,5125,28.1072,1.397,0.0451,
0948+0022,122035,55812.51562,5125,34.3134,0.2295,0.058,
BS0846+513,123409,55812.53125,5125,51.6621,0.2179,0.041,
MRK421,125206,55812.53906,5125,68.5571,0.5999,0.0653,
MRK501,130336,55812.54688,5125,48.3381,1.4804,0.0352,
S41849+67,131547,55812.55469,5125,43.1099,1.4484,0.0547,
1510-089,132739,55812.5625,5125,31.4103,1.5346,0.0469,
0948+0022,122140,55826.51953,5125,26.0781,0.3651,0.0366,
BS0846+513,123348,55826.53125,5125,43.3802,0.1941,0.0467,
MRK421,125045,55826.53906,5125,58.9925,0.6249,0.0317,
MRK501,130245,55826.54688,5125,57.7607,1.4602,0.0362,
S41849+67,131609,55826.55469,5125,48.4391,1.4618,0.0511,
1510-089,132811,55826.5625,5125,35.256,1.4388,0.0403,
0948+0022,104011,55847.44922,5125,28.998,0.4268,0.0505,
MRK421,111009,55847.46875,5125,62.2141,0.5866,0.0441,
MRK501,112144,55847.47656,5125,54.5882,1.4971,0.0394,
1510-089,114731,55847.49219,5125,34.271,1.4936,0.0457,
0948+0022,85418,55881.375,5125,24.7498,0.2878,0.086,
MRK421,92235,55881.39453,5125,57.5504,0.5791,0.0851,
MRK501,93405,55881.40234,5125,59.1978,1.4149,0.0891,
S41849+67,94812,55881.41016,5125,49.2531,1.4149,0.1344,
1510-089,100016,55881.42188,5125,35.5976,2.473,0.1044,
BS0846+513,102436,55881.4375,5125,31.719,0.2934,0.1338,
1510-089,90751,55896.38281,5125,35.8229,2.8148,0.0828,
PKS1346-112,91338,55896.38672,5125,32.4405,0.1901,0.0797,
1510-089,92335,55896.39453,5125,36.1973,2.7761,0.0952,
1510-089,95403,55908.41406,5125,34.6071,3.2088,0.07,
1510-089,100950,55908.42578,5125,33.6495,3.3072,0.0709,
PKS1346-112,101501,55908.42969,5125,22.5746,0.2051,0.0701,
3C273,91426,55916.38672,5125,26.2615,38.2125,0.6747,
1156+295,93434,55916.40234,5125,36.1063,2.2414,0.0745,
1510-089,94301,55916.40625,5125,33.2838,3.6557,0.1299,
1219+285,122106,55916.51562,5125,11.3545,0.4174,0.0908,
1354+195,122449,55916.51953,5125,20.4867,1.8978,0.155,
1606+105,123656,55916.52734,5125,35.3485,0.9922,0.0596,
0716+714,124651,55916.53516,5125,25.8968,1.4763,0.0946,
1730-130,125541,55916.54297,5125,24.8361,4.5387,0.148,
1741-038,130111,55916.54688,5125,33.7187,3.0708,0.0633,
1611+343,132134,55916.55859,5125,43.527,2.9427,0.0646,
1633+382,132653,55916.5625,5125,48.2821,2.9634,0.0769,
