Source,HHMMSS,MJD,Freq,elev,Flux,Flux_err
***,,,,,,
0235+164,185316.0,53349.787,8000.0,0.0,1.505,0.064
0235+164,212428.0,53349.892,8000.0,0.0,1.477,0.069
0235+164,232107.0,53349.973,8000.0,0.0,1.492,0.066
0235+164,12624.0,53350.06,8000.0,0.0,1.536,0.087
0235+164,153014.0,53350.646,8000.0,0.0,1.542,0.087
0235+164,203531.0,53350.858,8000.0,0.0,1.454,0.063
0235+164,222916.0,53350.937,8000.0,0.0,1.483,0.066
0235+164,201648.0,53351.845,8000.0,0.0,1.576,0.062
0235+164,222331.0,53351.933,8000.0,0.0,1.498,0.063
0235+164,170643.0,53354.713,5000.0,0.0,1.394,0.057
0235+164,222916.0,53354.937,5000.0,0.0,1.389,0.038
0235+164,170809.0,53357.714,5000.0,0.0,1.383,0.028
0235+164,221159.0,53357.925,5000.0,0.0,1.365,0.03
0235+164,170809.0,53358.714,5000.0,0.0,1.384,0.065
0235+164,221159.0,53358.925,5000.0,0.0,1.371,0.026
0235+164,170809.0,53359.714,5000.0,0.0,1.375,0.024
0235+164,221159.0,53359.925,5000.0,0.0,1.379,0.031
0235+164,173531.0,53376.733,22000.0,0.0,1.615,0.106
0235+164,183140.0,53376.772,22000.0,0.0,1.706,0.114
0235+164,173531.0,53377.733,22000.0,0.0,1.646,0.107
0235+164,183140.0,53377.772,22000.0,0.0,1.627,0.11
0235+164,183140.0,53378.772,22000.0,0.0,1.633,0.112
0235+164,173531.0,53379.733,22000.0,0.0,1.58,0.113
0235+164,183140.0,53379.772,22000.0,0.0,1.622,0.107
0235+164,173823.0,53380.735,22000.0,0.0,1.629,0.11
0235+164,183140.0,53380.772,22000.0,0.0,1.578,0.103
0235+164,170516.0,53381.712,5000.0,0.0,1.321,0.029
0235+164,135052.0,53382.577,8000.0,0.0,1.379,0.044
0235+164,151423.0,53382.635,8000.0,0.0,1.285,0.043
0235+164,163921.0,53382.694,8000.0,0.0,1.382,0.045
0235+164,173531.0,53382.733,8000.0,0.0,1.353,0.044
0235+164,174243.0,53383.738,5000.0,0.0,1.24,0.024
0235+164,181550.0,53384.761,5000.0,0.0,1.253,0.021
0235+164,174243.0,53385.738,5000.0,0.0,1.255,0.019
0235+164,174243.0,53386.738,5000.0,0.0,1.263,0.02
0235+164,174243.0,53387.738,5000.0,0.0,1.23,0.021
0235+164,201102.0,53387.841,8000.0,0.0,1.148,0.084
0235+164,202400.0,53387.85,8000.0,0.0,1.063,0.075
0235+164,174243.0,53388.738,5000.0,0.0,1.281,0.02
0235+164,174243.0,53389.738,5000.0,0.0,1.318,0.022
0235+164,154145.0,53412.654,8000.0,0.0,1.428,0.061
0235+164,154019.0,53413.653,22000.0,0.0,1.388,0.067
0235+164,131033.0,53414.549,22000.0,0.0,1.27,0.107
0235+164,143950.0,53414.611,22000.0,0.0,1.346,0.166
0235+164,154019.0,53414.653,22000.0,0.0,1.442,0.095
0235+164,144828.0,53417.617,8000.0,0.0,1.077,0.175
0235+164,103502.0,53441.441,22000.0,0.0,1.17,0.14
0235+164,120252.0,53441.502,22000.0,0.0,1.081,0.09
0235+164,131033.0,53442.549,22000.0,0.0,1.145,0.083
0235+164,104047.0,53443.445,22000.0,0.0,1.245,0.056
0235+164,121004.0,53443.507,22000.0,0.0,1.208,0.058
0235+164,121716.0,53444.512,5000.0,0.0,1.228,0.022
0235+164,112945.0,53445.479,5000.0,0.0,1.256,0.021
0235+164,112819.0,53446.478,5000.0,0.0,1.238,0.021
0235+164,104214.0,53448.446,5000.0,0.0,1.183,0.021
0235+164,112400.0,53449.475,5000.0,0.0,1.228,0.021
0235+164,104214.0,53450.446,5000.0,0.0,1.215,0.022
0235+164,104047.0,53451.445,8000.0,0.0,1.185,0.019
0235+164,132624.0,53454.56,5000.0,0.0,1.171,0.079
0235+164,143823.0,53454.61,8000.0,0.0,1.267,0.136
0235+164,144955.0,53454.618,8000.0,0.0,1.213,0.158
0235+164,152848.0,53454.645,5000.0,0.0,1.166,0.078
0235+164,154019.0,53454.653,5000.0,0.0,1.206,0.096
0235+164,174536.0,53456.74,5000.0,0.0,1.171,0.084
0235+164,175707.0,53456.748,5000.0,0.0,1.166,0.092
0235+164,82945.0,53457.354,8000.0,0.0,1.165,0.093
0235+164,84116.0,53457.362,8000.0,0.0,1.163,0.097
0235+164,121716.0,53457.512,5000.0,0.0,1.132,0.078
0235+164,122848.0,53457.52,5000.0,0.0,1.167,0.074
0235+164,94438.0,53463.406,8000.0,0.0,1.221,0.021
0235+164,111228.0,53463.467,8000.0,0.0,1.217,0.04
0235+164,94604.0,53464.407,8000.0,0.0,1.145,0.032
0235+164,111102.0,53464.466,8000.0,0.0,1.201,0.03
0235+164,94019.0,53465.403,22000.0,0.0,0.988,0.404
0235+164,111102.0,53465.466,22000.0,0.0,0.708,0.532
0235+164,121004.0,53465.507,22000.0,0.0,1.078,0.404
0235+164,163043.0,53477.688,5000.0,0.0,0.859,0.1
0235+164,164214.0,53477.696,5000.0,0.0,0.863,0.106
0235+164,84409.0,53478.364,8000.0,0.0,1.225,0.108
0235+164,85540.0,53478.372,8000.0,0.0,1.193,0.086
0235+164,144116.0,53478.612,8000.0,0.0,1.119,0.089
0235+164,145248.0,53478.62,8000.0,0.0,1.206,0.075
0235+164,71912.0,53504.305,8000.0,0.0,1.097,0.238
0235+164,95609.0,53504.414,8000.0,0.0,0.989,0.074
0235+164,132038.0,53504.556,8000.0,0.0,1.067,0.073
0235+164,95316.0,53505.412,8000.0,0.0,1.095,0.059
0235+164,131619.0,53505.553,8000.0,0.0,1.038,0.079
0235+164,144955.0,53505.618,5000.0,0.0,1.045,0.154
0235+164,73335.0,53506.315,8000.0,0.0,1.008,0.098
0235+164,71033.0,53510.299,22000.0,0.0,0.597,0.432
0235+164,71033.0,53511.299,22000.0,0.0,0.409,0.528
0235+164,94857.0,53511.409,8000.0,0.0,1.071,0.068
0235+164,131326.0,53511.551,5000.0,0.0,1.307,0.098
0235+164,105512.0,53543.455,5000.0,0.0,1.129,0.099
0235+164,110643.0,53543.463,5000.0,0.0,1.078,0.093
0235+164,55121.0,53544.244,5000.0,0.0,1.149,0.075
0235+164,60252.0,53544.252,5000.0,0.0,1.14,0.082
0235+164,101619.0,53544.428,8000.0,0.0,1.469,0.1
0235+164,91257.0,53576.384,5000.0,0.0,1.28,0.089
0235+164,92428.0,53576.392,5000.0,0.0,1.268,0.088
0235+164,14800.0,53577.075,8000.0,0.0,1.716,0.237
0235+164,15931.0,53577.083,8000.0,0.0,1.923,0.135
0235+164,52400.0,53577.225,5000.0,0.0,1.167,0.088
0235+164,53657.0,53577.234,5000.0,0.0,1.254,0.086
0235+164,95150.0,53577.411,8000.0,0.0,1.81,0.181
0235+164,2302.0,53578.016,8000.0,0.0,1.797,0.108
0235+164,52945.0,53578.229,8000.0,0.0,1.78,0.125
0235+164,5024.0,53588.035,8000.0,0.0,1.405,0.125
0235+164,10155.0,53588.043,8000.0,0.0,1.461,0.122
