MJD,Freq,Flux,Flux_err,Source
53372.675,22000.0,0.843,0.071,0219+428
53377.617,22000.0,0.929,0.069,0219+428
53377.675,22000.0,0.912,0.075,0219+428
53379.675,22000.0,0.952,0.075,0219+428
53380.617,22000.0,0.874,0.075,0219+428
53380.675,22000.0,0.975,0.075,0219+428
53413.523,22000.0,0.776,0.054,0219+428
53414.528,22000.0,0.678,0.118,0219+428
53441.424,22000.0,0.826,0.044,0219+428
53443.424,22000.0,0.748,0.044,0219+428
53750.606,22000.0,0.642,0.166,0219+428
53765.848,22000.0,0.949,0.301,0219+428
53772.673,22000.0,0.899,0.273,0219+428
53805.515,22000.0,0.891,0.342,0219+428
53805.527,22000.0,0.996,0.32,0219+428
53849.586,22000.0,0.784,0.325,0219+428
53861.523,22000.0,1.032,0.264,0219+428
53861.536,22000.0,1.032,0.318,0219+428
53955.274,22000.0,1.228,0.31,0219+428
53973.233,22000.0,1.222,0.318,0219+428
53973.247,22000.0,1.21,0.295,0219+428
54010.092,22000.0,1.709,0.328,0219+428
54021.884,22000.0,1.508,0.258,0219+428
54021.898,22000.0,1.332,0.271,0219+428
54056.828,22000.0,1.607,0.455,0219+428
54056.841,22000.0,1.232,0.551,0219+428
54119.812,22000.0,1.184,0.386,0219+428
54119.825,22000.0,1.121,0.387,0219+428
54119.839,22000.0,1.255,0.375,0219+428
54119.852,22000.0,0.9,0.42,0219+428
54183.428,22000.0,1.067,0.247,0219+428
54183.441,22000.0,0.967,0.226,0219+428
54183.467,22000.0,0.903,0.238,0219+428
54218.34,22000.0,0.923,0.309,0219+428
54218.353,22000.0,0.891,0.33,0219+428
54218.366,22000.0,0.957,0.322,0219+428
54274.129,22000.0,0.832,0.503,0219+428
54274.142,22000.0,0.816,0.394,0219+428
54274.156,22000.0,1.071,0.375,0219+428
54288.368,22000.0,0.834,0.299,0219+428
54288.381,22000.0,0.981,0.315,0219+428
54323.076,22000.0,1.016,0.517,0219+428
54345.033,22000.0,0.851,0.36,0219+428
54345.073,22000.0,0.915,0.321,0219+428
54372.212,22000.0,1.487,0.448,0219+428
54372.226,22000.0,1.464,0.531,0219+428
54386.173,22000.0,1.435,0.19,0219+428
54455.615,22000.0,0.941,0.143,0219+428
54455.624,22000.0,0.757,0.189,0219+428
54455.633,22000.0,1.352,0.167,0219+428
54460.652,22000.0,1.102,0.311,0219+428
54510.785,22000.0,1.462,0.215,0219+428
54561.671,22000.0,1.299,0.162,0219+428
54561.685,22000.0,1.433,0.147,0219+428
54651.367,22000.0,1.197,0.245,0219+428
54651.377,22000.0,1.404,0.301,0219+428
54666.311,22000.0,0.841,0.188,0219+428
54666.32,22000.0,1.044,0.177,0219+428
54687.268,22000.0,0.945,0.178,0219+428
