Source,Freq,MJD_1,MJD_2,MJD_diff,Flux_1,Flux_2,Flux_diff
0235+164,5000.0,53354.713,53381.712,26.99899999999616,1.394,1.321,-0.07299999999999995
0235+164,5000.0,53354.713,53383.738,29.02499999999418,1.394,1.24,-0.15399999999999991
0235+164,5000.0,53354.713,53384.761,30.047999999995227,1.394,1.253,-0.14100000000000001
0235+164,5000.0,53354.713,53385.738,31.02499999999418,1.394,1.255,-0.139
0235+164,5000.0,53354.713,53386.738,32.02499999999418,1.394,1.263,-0.131
0235+164,5000.0,53354.713,53387.738,33.02499999999418,1.394,1.23,-0.16399999999999992
0235+164,5000.0,53354.713,53388.738,34.02499999999418,1.394,1.281,-0.11299999999999999
0235+164,5000.0,53354.713,53389.738,35.02499999999418,1.394,1.318,-0.07599999999999985
0235+164,5000.0,53354.937,53381.712,26.775000000001455,1.389,1.321,-0.06800000000000006
0235+164,5000.0,53354.937,53383.738,28.800999999999476,1.389,1.24,-0.14900000000000002
0235+164,5000.0,53354.937,53384.761,29.824000000000524,1.389,1.253,-0.13600000000000012
0235+164,5000.0,53354.937,53385.738,30.800999999999476,1.389,1.255,-0.13400000000000012
0235+164,5000.0,53354.937,53386.738,31.800999999999476,1.389,1.263,-0.1260000000000001
0235+164,5000.0,53354.937,53387.738,32.800999999999476,1.389,1.23,-0.15900000000000003
0235+164,5000.0,53354.937,53388.738,33.800999999999476,1.389,1.281,-0.1080000000000001
0235+164,5000.0,53354.937,53389.738,34.800999999999476,1.389,1.318,-0.07099999999999995
0235+164,5000.0,53357.714,53381.712,23.997999999999593,1.383,1.321,-0.062000000000000055
0235+164,5000.0,53357.714,53383.738,26.023999999997613,1.383,1.24,-0.14300000000000002
0235+164,5000.0,53357.714,53384.761,27.04699999999866,1.383,1.253,-0.13000000000000012
0235+164,5000.0,53357.714,53385.738,28.023999999997613,1.383,1.255,-0.1280000000000001
0235+164,5000.0,53357.714,53386.738,29.023999999997613,1.383,1.263,-0.1200000000000001
0235+164,5000.0,53357.714,53387.738,30.023999999997613,1.383,1.23,-0.15300000000000002
0235+164,5000.0,53357.714,53388.738,31.023999999997613,1.383,1.281,-0.10200000000000009
0235+164,5000.0,53357.714,53389.738,32.02399999999761,1.383,1.318,-0.06499999999999995
0235+164,5000.0,53357.925,53381.712,23.786999999996624,1.365,1.321,-0.04400000000000004
0235+164,5000.0,53357.925,53383.738,25.812999999994645,1.365,1.24,-0.125
0235+164,5000.0,53357.925,53384.761,26.835999999995693,1.365,1.253,-0.1120000000000001
0235+164,5000.0,53357.925,53385.738,27.812999999994645,1.365,1.255,-0.1100000000000001
0235+164,5000.0,53357.925,53386.738,28.812999999994645,1.365,1.263,-0.10200000000000009
0235+164,5000.0,53357.925,53387.738,29.812999999994645,1.365,1.23,-0.135
0235+164,5000.0,53357.925,53388.738,30.812999999994645,1.365,1.281,-0.08400000000000007
0235+164,5000.0,53357.925,53389.738,31.812999999994645,1.365,1.318,-0.04699999999999993
