 Site = SRT
        Name    HHMMSS       #MJD    Freq     Elev    Amp_0    Amp_1  e_Amp_0  e_Amp_1   flux_0   flux_1 e_flux_0 e_flux_1
    PKS1222+216 034541 60712.15865  4825.0  67.2009  24.8970  21.6552   0.1994   0.1548   1.7231   1.7279   0.0204   0.0195
          3C273 034941 60712.16138  4825.0  49.7161 382.6377 333.2554   0.5479   0.4914  26.4879  26.5942   0.2319   0.2346
          3C279 035317 60712.16387  4825.0  43.6378 162.0509 141.3924   0.2938   0.2328  11.2166  11.2839   0.0990   0.0999
       1334-127 035655 60712.16642  4825.0  37.4179  29.8899  26.0351   0.1487   0.1581   2.0702   2.0781   0.0210   0.0221
       1354+195 040120 60712.16949  4825.0  69.5206  26.5120  22.9668   0.1240   0.1233   1.8370   1.8336   0.0181   0.0188
     PKS1441+25 040524 60712.17991  4825.0  72.7034   3.3424   2.9060   0.0788   0.0751   0.2315   0.2320   0.0060   0.0065
       1510-089 042053 60712.18307  4825.0  38.7651  26.1177  22.6993   0.1391   0.1349   1.8069   1.8105   0.0187   0.0195
     PG1553+113 043224 60712.19431  4825.0  54.6244   4.1247   3.5638   0.0998   0.1061   0.2861   0.2848   0.0075   0.0089
       1606+105 044033 60712.19673  4825.0  52.7490  22.8768  19.7708   0.3067   0.3017   1.5835   1.5777   0.0253   0.0277
       1830-211 101758 60712.43105  4825.0  26.0470  95.5643  83.0383   0.1912   0.1759   6.6152   6.6239   0.0586   0.0593
       1730-130 102147 60712.43370  4825.0  26.5109  57.8107  50.2807   0.1596   0.1340   4.0011   4.0099   0.0363   0.0365
       1741-038 102528 60712.43622  4825.0  35.2285  35.2044  30.6637   0.1541   0.1305   2.4422   2.4412   0.0237   0.0237
       1611+343 102953 60712.43930  4825.0  42.4534  43.1239  37.6129   0.1155   0.1021   2.9853   3.0015   0.0270   0.0273
       1633+382 104001 60712.44635  4825.0  46.1023  33.3534  28.8792   0.1184   0.1061   2.3070   2.3036   0.0218   0.0222
          3C345 104328 60712.44873  4825.0  47.4497 101.7837  88.5096   0.1796   0.1621   7.0444   7.0631   0.0621   0.0628
         Mrk501 104654 60712.45112  4825.0  48.7944  20.9388  18.2170   0.1548   0.1370   1.4478   1.4521   0.0166   0.0168
       1807+698 105114 60712.45433  4825.0  54.0519  28.3717  24.4538   0.1286   0.1136   1.9637   1.9551   0.0203   0.0202
          BLLAC 105646 60712.45798  4825.0  74.3254  66.3039  57.5371   0.1417   0.1275   4.5906   4.5912   0.0409   0.0412
    1ES1959+650 110147 60712.47076  4825.0  62.9134   4.6589   4.0134   0.0659   0.0630   0.3225   0.3202   0.0053   0.0057
       2223-052 131831 60713.55746  4825.0  44.5914  64.4725  56.0645   0.1663   0.1348   4.5107   3.9443   0.0500   0.0441
       2230+114 132355 60713.56015  4825.0  60.9798  59.5687  51.7009   0.1246   0.0948   4.1698   3.6401   0.0455   0.0401
        3C454.3 132727 60713.56266  4825.0  66.2866 187.7521 163.2963   0.2921   0.2414  13.1427  11.4978   0.1423   0.1259
          3C380 133301 60713.56654  4825.0  38.7912  69.4301  60.2912   0.1611   0.1371   4.8645   4.2471   0.0536   0.0473
          3C66A 133852 60713.57058  4825.0  57.1662 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
           3C84 134239 60713.57320  4825.0  47.2223 645.1528 559.7488   0.9259   0.8052  45.1598  39.4108   0.4882   0.4315
