      0219+428    36    1.82   24.70  +27.74   +1.37    121    1.06   17.87  +14.99   +0.98     81    0.95   19.65  +23.59   +1.03     36    1.05   10.23  +19.25   +0.80    -0.11  -0.81  +0.34   0.37
      0235+164    59    1.54   38.29  +28.82   +0.55    142    1.67   50.55  +48.63   +0.80    115    1.96   50.05  +49.00   +0.87     45    2.32   56.22  +58.69   +4.83    +0.07  -0.96  +0.77   0.94
      0316+413     4   30.56   -9.99   -9.99   -9.99     54   36.20   19.03  +13.78   +1.09     51   26.51   14.95  +14.03   +1.26      0   -9.99   -9.99   -9.99   -9.99    -0.31  -0.97  -0.12   0.02
      0323+342     0   -9.99   -9.99   -9.99   -9.99     18    0.34   13.68  +11.46   +0.70     12    0.37    9.97  +20.47   +1.55      0   -9.99   -9.99   -9.99   -9.99    +0.08  -0.21  +0.44   0.06
      0336-019    57    2.69   22.28  +19.55   +0.86    136    2.02   39.21  +17.67   +0.58    105    1.87   35.30  +32.37   +0.78     39    1.89   18.87  +23.28   +0.91    -0.02  -0.85  +0.92   0.85
      0355+508    55    7.59   17.57  +14.85   +1.32    124    9.03   22.51  +19.08   +0.78     90    9.48   25.14  +20.76   +1.22     32   11.31   13.36  +21.46   -9.99    +0.07  -0.58  +0.49   1.52
      0420-014    59    3.54   28.12  +23.53   +0.66    138    3.73   34.57  +24.25   +0.57    114    4.54   42.62  +30.30   +0.62     42    4.44   25.16  +44.39   +0.96    +0.21  -0.27  +0.64   0.92
      0440-003    45    2.44   19.16   +8.01   +0.41    114    1.70   15.48  +10.72   +0.74     94    1.09   18.85  +27.20   +1.21     35    0.92   12.00  +18.67   +0.86    -0.42  -1.21  +0.18   0.84
      0506+056     4    1.44   -9.99   -9.99   -9.99     49    1.36   31.53  +35.54   +0.91     48    1.35   34.62  +38.87   +0.98      0   -9.99   -9.99   -9.99   -9.99    -0.03  -0.29  +0.47   0.34
      0528+134    61    2.22   42.92  +13.64   +0.51    133    1.99   55.33  +16.26   +0.60    109    2.05   62.42  +39.50   +0.93     43    3.22   40.67  +51.35   +1.30    +0.00  -0.94  +0.39   2.06
      0716+714    70    1.16   35.55  +25.83   +0.83    144    1.24   40.08  +31.44   +0.88    109    1.66   56.81  +53.39   +0.86     43    2.73   75.48  +91.36   +0.96    +0.23  -0.55  +0.79   0.31
      0735+178    55    1.09   16.25  +11.80   +0.57    138    0.97   22.19  +19.56   +0.73     91    0.78   26.66  +26.69   +0.70     37    0.69   16.98  +28.29   +0.68    -0.17  -1.17  +0.45   0.42
      0736+017    45    1.17   22.05  +21.07   +0.91    132    1.32   27.48  +30.89   +1.05     99    1.69   30.48  +38.47   +1.09     38    1.43   25.59  +35.81   +1.60    +0.18  -0.42  +1.03   0.19
      0827+243    38    0.96   22.00  +19.78   +0.72    122    0.93   25.79  +28.45   +0.88     78    1.02   25.78  +32.66   +1.69     22    1.38   26.83  +32.75   -9.99    +0.06  -0.65  +0.43   0.94
      0829+046    55    0.67    9.40  +11.09   +0.72    141    0.90   32.02  +25.01   +1.16     90    1.22   42.06  +40.79   +1.13     35    0.56   25.53  +33.20   +0.62    +0.19  -0.64  +0.87   0.17
      0836+710    67    2.59   18.95  +14.17   +0.88    144    2.24   20.19  +13.19   +0.75    104    2.02   19.34  +24.38   +1.31     37    1.94   21.16  +29.41   +0.96    -0.07  -0.57  +0.54   2.17
      0838+133    16    1.70    4.47   +6.54   +1.61     85    1.53   11.06  +12.16   +1.08     41    1.37   13.93  +18.02   +0.95      0   -9.99   -9.99   -9.99   -9.99    -0.14  -0.40  +0.21   0.68
      0851+202    69    3.01   40.45  +24.29   +0.77    145    4.23   37.66  +25.23   +1.03     95    4.93   43.17  +35.54   +0.94     44    4.40   66.30  +87.91   +2.38    +0.22  -0.25  +0.85   0.31
      0954+658    60    1.01   16.71  +18.97   +1.08    147    1.10   24.68  +24.23   +0.87    105    1.43   32.75  +37.69   +1.07     40    1.55   19.03  +24.68   +0.75    +0.25  -0.40  +0.97   0.37
      1101+384    47    0.68   11.78  +13.92   +1.02     99    0.57   11.76  +14.94   +0.93     43    0.44    9.97  +17.31   +0.73      0   -9.99   -9.99   -9.99   -9.99    -0.18  -0.43  +0.18   0.03
      1156+295    65    1.66   29.74  +42.17   +1.84    136    2.05   48.67  +50.46   +1.06     99    2.62   55.81  +58.52   +0.87     33    2.06   37.40  +49.77   +2.28    +0.09  -0.57  +0.84   0.72
      1219+285    42    0.55   20.31  +16.43   +0.77    126    0.55   12.75  +15.43   +1.00     51    0.49   16.62  +28.86   +1.43     33    0.48   16.02  +26.67   +0.76    -0.17  -1.19  +0.26   0.10
       1222+21     2    1.95   -9.99   -9.99   -9.99     43    1.74   29.46  +19.92   +0.48     30    1.36   30.22  +21.73   +0.45      0   -9.99   -9.99   -9.99   -9.99    -0.34  -0.51  -0.13   0.43
      1226+023    74   33.86   10.76   +7.70   +0.71    150   26.80   17.55   +7.93   +0.59    119   21.18   27.44  +14.58   +0.69     44   21.37   16.16  +20.81   +0.79    -0.27  -0.71  +0.02   0.16
      1253-055    73   13.89   21.40  +15.81   +0.79    146   16.21   21.65  +16.73   +0.67    113   18.01   22.65  +20.59   +0.64     44   18.08   15.26  +18.70   +0.63    +0.12  -0.50  +0.49   0.54
      1334-127    58    3.91   26.96  +24.53   +0.65    127    4.20   28.89  +24.58   +0.82    103    4.67   30.78  +23.72   +0.80     40    6.35   34.38  +55.10   +1.19    +0.05  -0.37  +0.68   0.54
      1354+195    46    1.86   10.21   +5.06   +0.57    131    1.89   10.29  +10.92   +0.65     95    1.87   14.93  +19.20   +0.91     41    1.93   13.18  +32.25   +1.52    -0.04  -0.54  +0.52   0.72
      1441+252     1    0.24   -9.99   -9.99   -9.99     42    0.25   21.74  +24.00   +1.10     34    0.18   18.83  +31.85   +1.02      0   -9.99   -9.99   -9.99   -9.99    -0.31  -0.53  +0.00   0.94
      1510-089    68    2.69   41.00  +30.81   +0.77    146    2.82   42.11  +38.39   +1.02    103    3.08   34.71  +32.03   +1.10     35    2.17   28.26  +37.57   +0.98    +0.08  -0.47  +0.72   0.36
      1553+113     9    0.26   -9.99   -9.99   -9.99     66    0.28   23.67  +18.45   +0.65     53    0.30   21.27  +21.03   +0.65      0   -9.99   -9.99   -9.99   -9.99    +0.01  -0.59  +0.55   0.36
      1606+105    56    1.23   29.64  +19.71   +1.18    133    1.22   29.02  +22.11   +1.04     84    1.03   25.98  +29.08   +0.80     31    1.15   19.91  +37.24   +0.87    -0.22  -1.12  +0.25   1.23
      1611+343    66    4.12   17.59  +10.56   +0.69    144    4.15   17.27  +13.63   +0.69    108    3.24   28.07  +22.10   +0.62     38    1.99   15.10  +29.54   +0.62    -0.31  -1.11  +0.08   1.40
      1633+382    63    2.81   11.06  +12.10   +0.92    147    2.93   15.38  +16.99   +0.90    104    3.03   20.53  +28.55   +0.70     36    2.92    7.48  +28.48   +3.44    +0.05  -0.56  +0.74   1.81
      1641+399    65    6.59   10.29  +10.36   +0.95    150    6.02   12.74  +11.72   +0.79    107    6.06   13.90  +19.20   +1.02     34    5.20   24.22  +39.65   +1.42    +0.02  -0.41  +0.38   0.59
      1652+398    37    1.45    6.92   +6.16   +1.19    104    1.29    6.33   +6.55   +0.89     55    1.04    6.55  +14.99   +1.10      0   -9.99   -9.99   -9.99   -9.99    -0.21  -0.38  +0.25   0.03
      1730-130    51    4.47    9.70   +8.83   +1.30    124    4.41   15.95  +12.54   +1.05     95    3.68   17.50  +23.27   +1.31     36    3.79   17.01  +28.96   +1.04    -0.25  -0.63  +0.39   0.90
      1741-038    56    4.28   32.94  +10.97   +0.49    134    4.62   25.82  +20.42   +0.72    103    4.30   29.57  +32.14   +1.02     37    2.73   14.21  +23.73   +1.12    -0.09  -0.59  +0.91   1.05
      1807+698    50    1.78   11.41   +8.48   +1.51    122    1.83   17.57  +11.65   +0.71     93    1.80   22.70  +23.53   +0.94     37    1.41    8.53  +18.94   +1.13    -0.06  -0.54  +0.34   0.05
      1828+487    23    4.98    6.77   +7.96   +0.67     86    3.81    5.73   +7.25   +1.39     55    2.33   13.35  +17.74   +1.10      0   -9.99   -9.99   -9.99   -9.99    -0.48  -0.75  -0.16   0.69
      1830-211     0   -9.99   -9.99   -9.99   -9.99     29    9.73   25.07  +27.19   -9.99     25    6.01   28.57  +23.16   -9.99      0   -9.99   -9.99   -9.99   -9.99    -0.47  -0.72  -0.23   2.51
      1959+650     2    0.27   -9.99   -9.99   -9.99     44    0.25   16.99  +16.44   +0.59     36    0.33   93.63 +127.51   +2.01      0   -9.99   -9.99   -9.99   -9.99    +0.06  -0.24  +1.93   0.05
