0219+428  &  3C 66A  &  BLL  &  02:22:39.6 & +43:02:07.8 & 0.37 &  36 &    1.82 & 121 &    1.06 &  81 &    0.95 &  36 &    1.05\\
0235+164  &  AO 0235+16  &  BLL  &  02:38:38.9 & +16:36:59.3 & 0.94 &  59 &    1.54 & 142 &    1.67 & 115 &    1.96 &  45 &    2.32\\
0316+413  &  3C 84  &  uncertain  &  03:19:48.2 & +41:30:42.1 & 0.02 &   4 &   30.56 &  54 &   36.20 &  51 &   26.51 &   0 &   -9.99\\
0323+342  &  B2 0321+33B  &  uncertain  &  03:24:41.2 & +34:10:45.9 & 0.06 &   0 &   -9.99 &  18 &    0.34 &  12 &    0.37 &   0 &   -9.99\\
0336-019  &  CTA 026  &  FSRQ  &  03:39:30.9 & -01:46:35.8 & 0.85 &  57 &    2.69 & 136 &    2.02 & 105 &    1.87 &  39 &    1.89\\
0355+508  &  NRAO 150  &  FSRQ  &  03:59:29.7 & +50:57:50.2 & 1.52 &  55 &    7.59 & 124 &    9.03 &  90 &    9.48 &  32 &   11.31\\
0420-014  &  PKS 0420-01  &  FSRQ  &  04:23:15.8 & -01:20:33.1 & 0.92 &  59 &    3.54 & 138 &    3.73 & 114 &    4.54 &  42 &    4.44\\
0440-003  &  NRAO 190  &  FSRQ  &  04:42:38.6 & -00:17:43.4 & 0.84 &  45 &    2.44 & 114 &    1.70 &  94 &    1.09 &  35 &    0.92\\
0506+056  &  TXS 0506+056  &  BLL  &  05:09:26.0 & +05:41:35.3 & 0.34 &   4 &    1.44 &  49 &    1.36 &  48 &    1.35 &   0 &   -9.99\\
0528+134  &  PKS 0528+134  &  FSRQ  &  05:30:56.4 & +13:31:55.1 & 2.06 &  61 &    2.22 & 133 &    1.99 & 109 &    2.05 &  43 &    3.22\\
0716+714  &  S5 0716+71  &  BLL  &  07:21:53.4 & +71:20:36.4 & 0.31 &  70 &    1.16 & 144 &    1.24 & 109 &    1.66 &  43 &    2.73\\
0735+178  &  PKS 0735+17  &  BLL  &  07:38:07.3 & +17:42:19.0 & 0.42 &  55 &    1.09 & 138 &    0.97 &  91 &    0.78 &  37 &    0.69\\
0736+017  &  PKS 0736+01  &  FSRQ  &  07:39:18.0 & +01:37:04.6 & 0.19 &  45 &    1.17 & 132 &    1.32 &  99 &    1.69 &  38 &    1.43\\
0827+243  &  OJ 248  &  FSRQ  &  08:30:52.1 & +24:10:59.8 & 0.94 &  38 &    0.96 & 122 &    0.93 &  78 &    1.02 &  22 &    1.38\\
0829+046  &  OJ 49  &  BLL  &  08:31:48.9 & +04:29:39.1 & 0.17 &  55 &    0.67 & 141 &    0.90 &  90 &    1.22 &  35 &    0.56\\
0836+710  &  S5 0836+71  &  FSRQ  &  08:41:24.3 & +70:53:42.2 & 2.17 &  67 &    2.59 & 144 &    2.24 & 104 &    2.02 &  37 &    1.94\\
0838+133  &  3C 207  &  uncertain  &  08:40:47.6 & +13:12:23.6 & 0.68 &  16 &    1.70 &  85 &    1.53 &  41 &    1.37 &   0 &   -9.99\\
0851+202  &  OJ 287  &  BLL  &  08:54:48.8 & +20:06:30.6 & 0.31 &  69 &    3.01 & 145 &    4.23 &  95 &    4.93 &  44 &    4.40\\
0954+658  &  S4 0954+65  &  BLL  &  09:58:47.2 & +65:33:54.8 & 0.37 &  60 &    1.01 & 147 &    1.10 & 105 &    1.43 &  40 &    1.55\\
1101+384  &  MRK 421  &  BLL  &  11:04:27.3 & +38:12:31.8 & 0.03 &  47 &    0.68 &  99 &    0.57 &  43 &    0.44 &   0 &   -9.99\\
1156+295  &  4C +29.45  &  FSRQ  &  11:59:31.8 & +29:14:43.8 & 0.72 &  65 &    1.66 & 136 &    2.05 &  99 &    2.62 &  33 &    2.06\\
1219+285  &  W Com  &  BLL  &  12:21:31.7 & +28:13:58.5 & 0.10 &  42 &    0.55 & 126 &    0.55 &  51 &    0.49 &  33 &    0.48\\
1222+21  &  PKS 1222+216  &  FSRQ  &  12:24:54.4 & +21:22:46.4 & 0.43 &   2 &    1.95 &  43 &    1.74 &  30 &    1.36 &   0 &   -9.99\\
1226+023  &  3C 273  &  FSRQ  &  12:29:06.7 & +02:03:08.6 & 0.16 &  74 &   33.86 & 150 &   26.80 & 119 &   21.18 &  44 &   21.37\\
1253-055  &  3C 279  &  FSRQ  &  12:56:11.1 & -05:47:21.5 & 0.54 &  73 &   13.89 & 146 &   16.21 & 113 &   18.01 &  44 &   18.08\\
1334-127  &  PKS 1335-127  &  FSRQ  &  13:37:39.8 & -12:57:24.7 & 0.54 &  58 &    3.91 & 127 &    4.20 & 103 &    4.67 &  40 &    6.35\\
1354+195  &  4C +19.44  &  FSRQ  &  13:57:04.4 & +19:19:07.4 & 0.72 &  46 &    1.86 & 131 &    1.89 &  95 &    1.87 &  41 &    1.93\\
1441+252  &  PKS 1441+25  &  FSRQ  &  14:43:56.9 & +25:01:44.5 & 0.94 &   1 &    0.24 &  42 &    0.25 &  34 &    0.18 &   0 &   -9.99\\
1510-089  &  PKS 1510-08  &  FSRQ  &  15:12:50.5 & -09:05:59.8 & 0.36 &  68 &    2.69 & 146 &    2.82 & 103 &    3.08 &  35 &    2.17\\
1553+113  &  PG 1553+113  &  BLL  &  15:55:43.0 & +11:11:24.4 & 0.36 &   9 &    0.26 &  66 &    0.28 &  53 &    0.30 &   0 &   -9.99\\
1606+105  &  4C +10.45  &  FSRQ  &  16:08:46.1 & +10:29:07.8 & 1.23 &  56 &    1.23 & 133 &    1.22 &  84 &    1.03 &  31 &    1.15\\
1611+343  &  B2 1611+34  &  FSRQ  &  16:13:41.0 & +34:12:47.9 & 1.40 &  66 &    4.12 & 144 &    4.15 & 108 &    3.24 &  38 &    1.99\\
1633+382  &  S4 1633+38  &  FSRQ  &  16:35:15.4 & +38:08:04.5 & 1.81 &  63 &    2.81 & 147 &    2.93 & 104 &    3.03 &  36 &    2.92\\
1641+399  &  3C 345  &  FSRQ  &  16:42:58.8 & +39:48:37.0 & 0.59 &  65 &    6.59 & 150 &    6.02 & 107 &    6.06 &  34 &    5.20\\
1652+398  &  MRK 501  &  BLL  &  16:53:52.2 & +39:45:36.6 & 0.03 &  37 &    1.45 & 104 &    1.29 &  55 &    1.04 &   0 &   -9.99\\
1730-130  &  NRAO 530  &  FSRQ  &  17:33:02.6 & -13:04:49.5 & 0.90 &  51 &    4.47 & 124 &    4.41 &  95 &    3.68 &  36 &    3.79\\
1741-038  &  PKS 1741-03  &  FSRQ  &  17:43:58.8 & -03:50:04.6 & 1.05 &  56 &    4.28 & 134 &    4.62 & 103 &    4.30 &  37 &    2.73\\
1807+698  &  3C 371  &  BLL  &  18:06:50.7 & +69:49:28.1 & 0.05 &  50 &    1.78 & 122 &    1.83 &  93 &    1.80 &  37 &    1.41\\
1828+487  &  3C 380  &  uncertain  &  18:29:31.8 & +48:44:46.1 & 0.69 &  23 &    4.98 &  86 &    3.81 &  55 &    2.33 &   0 &   -9.99\\
1830-211  &  PKS 1830-21  &  FSRQ  &  18:33:39.9 & -21:03:39.8 & 2.51 &   0 &   -9.99 &  29 &    9.73 &  25 &    6.01 &   0 &   -9.99\\
1959+650  &  1ES 1959+650  &  BLL  &  19:59:59.8 & +65:08:54.6 & 0.05 &   2 &    0.27 &  44 &    0.25 &  36 &    0.33 &   0 &   -9.99\\
