0219+428  &    24.70 &   27.74 &    1.37 &    17.87 &   14.99 &    0.98 &    19.65 &   23.59 &    1.03 &    10.23 &   19.25 &    0.80 & -0.11\\
0235+164  &    38.29 &   28.82 &    0.55 &    50.55 &   48.63 &    0.80 &    50.05 &   49.00 &    0.87 &    56.22 &   58.69 &    4.83 & +0.07\\
0316+413  &    -9.99 &   -9.99 &   -9.99 &    19.03 &   13.78 &    1.09 &    14.95 &   14.03 &    1.26 &    -9.99 &   -9.99 &   -9.99 & -0.31\\
0323+342  &    -9.99 &   -9.99 &   -9.99 &    13.68 &   11.46 &    0.70 &     9.97 &   20.47 &    1.55 &    -9.99 &   -9.99 &   -9.99 & +0.08\\
0336-019  &    22.28 &   19.55 &    0.86 &    39.21 &   17.67 &    0.58 &    35.30 &   32.37 &    0.78 &    18.87 &   23.28 &    0.91 & -0.02\\
0355+508  &    17.57 &   14.85 &    1.32 &    22.51 &   19.08 &    0.78 &    25.14 &   20.76 &    1.22 &    13.36 &   21.46 &   -9.99 & +0.07\\
0420-014  &    28.12 &   23.53 &    0.66 &    34.57 &   24.25 &    0.57 &    42.62 &   30.30 &    0.62 &    25.16 &   44.39 &    0.96 & +0.21\\
0440-003  &    19.16 &    8.01 &    0.41 &    15.48 &   10.72 &    0.74 &    18.85 &   27.20 &    1.21 &    12.00 &   18.67 &    0.86 & -0.42\\
0506+056  &    -9.99 &   -9.99 &   -9.99 &    31.53 &   35.54 &    0.91 &    34.62 &   38.87 &    0.98 &    -9.99 &   -9.99 &   -9.99 & -0.03\\
0528+134  &    42.92 &   13.64 &    0.51 &    55.33 &   16.26 &    0.60 &    62.42 &   39.50 &    0.93 &    40.67 &   51.35 &    1.30 & +0.00\\
0716+714  &    35.55 &   25.83 &    0.83 &    40.08 &   31.44 &    0.88 &    56.81 &   53.39 &    0.86 &    75.48 &   91.36 &    0.96 & +0.23\\
0735+178  &    16.25 &   11.80 &    0.57 &    22.19 &   19.56 &    0.73 &    26.66 &   26.69 &    0.70 &    16.98 &   28.29 &    0.68 & -0.17\\
0736+017  &    22.05 &   21.07 &    0.91 &    27.48 &   30.89 &    1.05 &    30.48 &   38.47 &    1.09 &    25.59 &   35.81 &    1.60 & +0.18\\
0827+243  &    22.00 &   19.78 &    0.72 &    25.79 &   28.45 &    0.88 &    25.78 &   32.66 &    1.69 &    26.83 &   32.75 &   -9.99 & +0.06\\
0829+046  &     9.40 &   11.09 &    0.72 &    32.02 &   25.01 &    1.16 &    42.06 &   40.79 &    1.13 &    25.53 &   33.20 &    0.62 & +0.19\\
